Wavelength (nm)	Q34 abs N
350.00	0.042677
350.00	0.042677
350.00	0.042677
351.00	0.041430
352.00	0.040046
353.00	0.038769
354.00	0.037293
355.00	0.036061
356.00	0.034807
357.00	0.033713
358.00	0.032581
359.00	0.031625
360.00	0.030700
361.00	0.029836
362.00	0.029193
363.00	0.028543
364.00	0.028023
365.00	0.027541
366.00	0.027105
367.00	0.026868
368.00	0.026486
369.00	0.026470
370.00	0.026669
371.00	0.026730
372.00	0.026646
373.00	0.026792
374.00	0.027021
375.00	0.027273
376.00	0.027419
377.00	0.027794
378.00	0.028268
379.00	0.028757
380.00	0.029346
381.00	0.029958
382.00	0.030646
383.00	0.031556
384.00	0.032444
385.00	0.032979
386.00	0.033797
387.00	0.034524
388.00	0.035381
389.00	0.036176
390.00	0.037101
391.00	0.037851
392.00	0.038746
393.00	0.039595
394.00	0.040482
395.00	0.041163
396.00	0.042096
397.00	0.042822
398.00	0.043579
399.00	0.044444
400.00	0.045331
401.00	0.046195
402.00	0.047090
403.00	0.048191
404.00	0.049407
405.00	0.050707
406.00	0.052291
407.00	0.054096
408.00	0.056092
409.00	0.058577
410.00	0.061553
411.00	0.064772
412.00	0.068405
413.00	0.072436
414.00	0.076795
415.00	0.081545
416.00	0.086509
417.00	0.091656
418.00	0.097055
419.00	0.10267
420.00	0.10863
421.00	0.11498
422.00	0.12145
423.00	0.12838
424.00	0.13519
425.00	0.14185
426.00	0.14819
427.00	0.15387
428.00	0.15839
429.00	0.16151
430.00	0.16345
431.00	0.16387
432.00	0.16317
433.00	0.16139
434.00	0.15920
435.00	0.15699
436.00	0.15540
437.00	0.15507
438.00	0.15611
439.00	0.15956
440.00	0.16570
441.00	0.17517
442.00	0.18784
443.00	0.20445
444.00	0.22528
445.00	0.25113
446.00	0.28190
447.00	0.31916
448.00	0.36249
449.00	0.41348
450.00	0.47117
451.00	0.53535
452.00	0.60398
453.00	0.67630
454.00	0.74968
455.00	0.81990
456.00	0.88366
457.00	0.93652
458.00	0.97561
459.00	0.99674
460.00	1.0000
461.00	0.98285
462.00	0.94752
463.00	0.89528
464.00	0.82972
465.00	0.75461
466.00	0.67503
467.00	0.59332
468.00	0.51356
469.00	0.43823
470.00	0.36880
471.00	0.30711
472.00	0.25326
473.00	0.20736
474.00	0.16861
475.00	0.13683
476.00	0.11059
477.00	0.089377
478.00	0.072344
479.00	0.058914
480.00	0.048366
481.00	0.039916
482.00	0.033415
483.00	0.028428
484.00	0.024421
485.00	0.021285
486.00	0.018776
487.00	0.016857
488.00	0.015335
489.00	0.014096
490.00	0.013201
491.00	0.012321
492.00	0.011625
493.00	0.011136
494.00	0.010593
495.00	0.010119
496.00	0.0096444
497.00	0.0092543
498.00	0.0088795
499.00	0.0086272
500.00	0.0083518
501.00	0.0080535
502.00	0.0077774
503.00	0.0075335
504.00	0.0073958
505.00	0.0071434
506.00	0.0069216
507.00	0.0067679
508.00	0.0066616
509.00	0.0065163
510.00	0.0064780
511.00	0.0062945
512.00	0.0063174
513.00	0.0061797
514.00	0.0060803
515.00	0.0060115
516.00	0.0060727
517.00	0.0060956
518.00	0.0060727
519.00	0.0061950
520.00	0.0063327
521.00	0.0065468
522.00	0.0066685
523.00	0.0070746
524.00	0.0073958
525.00	0.0077553
526.00	0.0080076
527.00	0.0085889
528.00	0.0090325
529.00	0.0093078
530.00	0.0096673
531.00	0.0099656
532.00	0.010126
533.00	0.010233
534.00	0.010294
535.00	0.010348
536.00	0.010409
537.00	0.010348
538.00	0.010287
539.00	0.010409
540.00	0.010172
541.00	0.010256
542.00	0.010164
543.00	0.010141
544.00	0.010057
545.00	0.010011
546.00	0.0099885
547.00	0.0098662
548.00	0.0098050
549.00	0.0097973
550.00	0.0097897
551.00	0.0097897
552.00	0.0097438
553.00	0.0096367
554.00	0.0095296
555.00	0.0095832
556.00	0.0096597
557.00	0.0096979
558.00	0.0097055
559.00	0.0098967
560.00	0.010119
561.00	0.010394
562.00	0.010776
563.00	0.011411
564.00	0.012023
565.00	0.012857
566.00	0.014004
567.00	0.015319
568.00	0.016834
569.00	0.018631
570.00	0.020727
571.00	0.023075
572.00	0.025667
573.00	0.028214
574.00	0.030945
575.00	0.033537
576.00	0.035946
577.00	0.038333
578.00	0.040413
579.00	0.042386
580.00	0.044015
581.00	0.045675
582.00	0.047067
583.00	0.048390
584.00	0.049606
585.00	0.050478
586.00	0.051388
587.00	0.051923
588.00	0.052046
589.00	0.051885
590.00	0.051228
591.00	0.050180
592.00	0.048964
593.00	0.047587
594.00	0.046119
595.00	0.044620
596.00	0.043159
597.00	0.041598
598.00	0.040023
599.00	0.038509
600.00	0.037048
601.00	0.035725
602.00	0.034555
603.00	0.033736
604.00	0.033140
605.00	0.032887
606.00	0.033117
607.00	0.033606
608.00	0.034524
609.00	0.035931
610.00	0.037751
611.00	0.040015
612.00	0.042906
613.00	0.046402
614.00	0.050539
615.00	0.055587
616.00	0.061675
617.00	0.069147
618.00	0.077912
619.00	0.088283
620.00	0.10034
621.00	0.11414
622.00	0.13004
623.00	0.14760
624.00	0.16739
625.00	0.18883
626.00	0.21167
627.00	0.23520
628.00	0.25812
629.00	0.27924
630.00	0.29790
631.00	0.31345
632.00	0.32597
633.00	0.33538
634.00	0.34228
635.00	0.34671
636.00	0.34860
637.00	0.34776
638.00	0.34336
639.00	0.33501
640.00	0.32241
641.00	0.30546
642.00	0.28521
643.00	0.26203
644.00	0.23724
645.00	0.21193
646.00	0.18675
647.00	0.16286
648.00	0.14050
649.00	0.12018
650.00	0.10205
651.00	0.086256
652.00	0.072275
653.00	0.060528
654.00	0.050279
655.00	0.041797
656.00	0.034700
657.00	0.028711
658.00	0.023748
659.00	0.019763
660.00	0.016482
661.00	0.013828
662.00	0.011549
663.00	0.0098203
664.00	0.0083365
665.00	0.0071740
666.00	0.0063021
667.00	0.0053767
668.00	0.0046272
669.00	0.0041836
670.00	0.0036635
671.00	0.0032964
672.00	0.0029446
673.00	0.0026386
674.00	0.0024092
675.00	0.0022103
676.00	0.0020191
677.00	0.0019350
678.00	0.0017514
679.00	0.0016597
680.00	0.0015832
681.00	0.0014532
682.00	0.0014226
683.00	0.0013078
684.00	0.0011855
685.00	0.0011549
686.00	0.0011166
687.00	0.0010478
688.00	0.0010860
689.00	0.00094837
690.00	0.00095602
691.00	0.00091778
692.00	0.00087189
693.00	0.00089484
694.00	0.00092543
695.00	0.00084895
696.00	0.00068069
697.00	0.00076405
698.00	0.00081071
699.00	0.00068834
700.00	0.00073423
701.00	0.00064245
702.00	0.00065774
703.00	0.00070363
704.00	0.00071128
705.00	0.00061185
706.00	0.00064245
707.00	0.00058891
708.00	0.00053537
709.00	0.00061185
710.00	0.00061950
711.00	0.00055067
712.00	0.00056597
713.00	0.00064245
714.00	0.00059656
715.00	0.00058891
716.00	0.00061185
717.00	0.00062715
718.00	0.00058126
719.00	0.00059656
720.00	0.00060421
721.00	0.00064245
722.00	0.00066539
723.00	0.00065010
724.00	0.00068069
725.00	0.00071128
726.00	0.00071128
727.00	0.00066539
728.00	0.00075717
729.00	0.00076405
730.00	0.00076405
731.00	0.00081836
732.00	0.00081836
733.00	0.00078011
734.00	0.00082600
735.00	0.00071893
736.00	0.00080306
737.00	0.00084895
738.00	0.00094837
739.00	0.00094837
740.00	0.00081836
741.00	0.00078776
742.00	0.00085660
743.00	0.00074187
744.00	0.00078776
745.00	0.00080306
746.00	0.00078776
747.00	0.00076405
748.00	0.00084130
749.00	0.00074952
750.00	0.00074952
751.00	0.00081071
752.00	0.00075717
753.00	0.00071128
754.00	0.00065010
755.00	0.00062715
756.00	0.00065010
757.00	0.00065774
758.00	0.00066539
759.00	0.00067304
760.00	0.00059656
761.00	0.00063480
762.00	0.00052772
763.00	0.00058126
764.00	0.00054302
765.00	0.00063480
766.00	0.00048184
767.00	0.00055067
768.00	0.00054302
769.00	0.00050478
770.00	0.00042830
771.00	0.00042830
772.00	0.00035182
773.00	0.00042830
774.00	0.00048184
775.00	0.00042830
776.00	0.00030593
777.00	0.00042065
778.00	0.00042830
779.00	0.00034417
780.00	0.00032887
781.00	0.00037476
782.00	0.00037476
783.00	0.00037476
784.00	0.00042830
785.00	0.00039006
786.00	0.00032887
787.00	0.00034417
788.00	0.00037476
789.00	0.00035182
790.00	0.00035182
791.00	0.00029828
792.00	0.00029828
793.00	0.00035182
794.00	0.00034417
795.00	0.00038241
796.00	0.00027533
797.00	0.00041300
798.00	0.00034417
799.00	0.00032122
800.00	0.00027533
