Wavelength (nm)	Q-34, PdTBP(CO2Bu)Ph.ems
684.00	0.0011076
685.00	0.00094631
686.00	0.0015180
687.00	0.0016077
688.00	0.0018484
689.00	0.0020807
690.00	0.0030251
691.00	0.0034180
692.00	0.0035559
693.00	0.0044701
694.00	0.0050449
695.00	0.0056062
696.00	0.0064448
697.00	0.0064884
698.00	0.0072076
699.00	0.0081747
700.00	0.0084667
701.00	0.0090392
702.00	0.0095040
703.00	0.0096422
704.00	0.0098250
705.00	0.010507
706.00	0.010745
707.00	0.010680
708.00	0.010799
709.00	0.010808
710.00	0.011369
711.00	0.010839
712.00	0.010762
713.00	0.010600
714.00	0.010577
715.00	0.010144
716.00	0.0095869
717.00	0.0094353
718.00	0.0081510
719.00	0.0084558
720.00	0.0075519
721.00	0.0071112
722.00	0.0074968
723.00	0.0074014
724.00	0.0069755
725.00	0.0076335
726.00	0.0074931
727.00	0.0084015
728.00	0.0088408
729.00	0.0092392
730.00	0.010008
731.00	0.011044
732.00	0.012570
733.00	0.013680
734.00	0.015486
735.00	0.017587
736.00	0.019643
737.00	0.021729
738.00	0.025358
739.00	0.029283
740.00	0.031894
741.00	0.035791
742.00	0.041335
743.00	0.045880
744.00	0.052108
745.00	0.057901
746.00	0.065391
747.00	0.073964
748.00	0.081612
749.00	0.089851
750.00	0.10241
751.00	0.11226
752.00	0.12483
753.00	0.13759
754.00	0.15248
755.00	0.16644
756.00	0.18294
757.00	0.20428
758.00	0.22608
759.00	0.24847
760.00	0.27509
761.00	0.30153
762.00	0.32982
763.00	0.35759
764.00	0.38916
765.00	0.42202
766.00	0.46097
767.00	0.49149
768.00	0.52433
769.00	0.56291
770.00	0.59653
771.00	0.63019
772.00	0.67080
773.00	0.70859
774.00	0.74268
775.00	0.77605
776.00	0.81091
777.00	0.84382
778.00	0.86908
779.00	0.89269
780.00	0.92293
781.00	0.94083
782.00	0.96069
783.00	0.97656
784.00	0.98401
785.00	0.99079
786.00	0.99106
787.00	1.0000
788.00	0.99540
789.00	0.98737
790.00	0.98404
791.00	0.96884
792.00	0.95431
793.00	0.93628
794.00	0.91894
795.00	0.89543
796.00	0.87383
797.00	0.86009
798.00	0.83199
799.00	0.80812
800.00	0.78427
801.00	0.75589
802.00	0.73865
803.00	0.71730
804.00	0.68568
805.00	0.66275
806.00	0.64354
807.00	0.61504
808.00	0.59246
809.00	0.57127
810.00	0.54330
811.00	0.52769
812.00	0.50315
813.00	0.48458
814.00	0.46128
815.00	0.44878
816.00	0.42884
817.00	0.40870
818.00	0.39429
819.00	0.38172
820.00	0.36364
821.00	0.35277
822.00	0.34214
823.00	0.33064
824.00	0.31505
825.00	0.30306
826.00	0.29045
827.00	0.27583
828.00	0.26648
829.00	0.25607
830.00	0.24970
831.00	0.23882
832.00	0.22955
833.00	0.22148
834.00	0.21394
835.00	0.20746
836.00	0.19684
837.00	0.19447
838.00	0.18867
839.00	0.17412
840.00	0.17517
841.00	0.17122
842.00	0.16352
843.00	0.16000
844.00	0.15449
845.00	0.15281
846.00	0.14359
847.00	0.14244
848.00	0.13383
849.00	0.13709
850.00	0.13272
851.00	0.12820
852.00	0.12928
853.00	0.12498
854.00	0.12364
855.00	0.12221
856.00	0.11796
857.00	0.12010
858.00	0.11742
859.00	0.11331
860.00	0.11166
861.00	0.11289
862.00	0.11031
863.00	0.10937
864.00	0.10664
865.00	0.10737
866.00	0.10619
867.00	0.10574
868.00	0.10788
869.00	0.10657
870.00	0.10283
871.00	0.10344
872.00	0.10157
873.00	0.099061
874.00	0.10098
875.00	0.10118
876.00	0.097736
877.00	0.099305
878.00	0.096700
879.00	0.096316
880.00	0.093352
881.00	0.093840
882.00	0.095028
883.00	0.091493
884.00	0.092142
885.00	0.091734
886.00	0.091371
887.00	0.085662
888.00	0.087276
889.00	0.083693
890.00	0.080635
891.00	0.084238
892.00	0.080317
893.00	0.076071
894.00	0.077471
895.00	0.077114
896.00	0.073324
897.00	0.070874
898.00	0.074511
899.00	0.067457
900.00	0.070776
901.00	0.067346
902.00	0.066749
903.00	0.064913
904.00	0.062422
905.00	0.062358
906.00	0.060229
907.00	0.058215
908.00	0.057605
909.00	0.054240
910.00	0.051324
911.00	0.050620
912.00	0.049488
913.00	0.050930
914.00	0.049281
915.00	0.045286
916.00	0.044979
917.00	0.043573
918.00	0.042649
919.00	0.041988
920.00	0.038921
921.00	0.036610
922.00	0.037380
923.00	0.038486
924.00	0.036629
925.00	0.032257
926.00	0.035106
927.00	0.031466
928.00	0.030085
929.00	0.030572
930.00	0.028949
931.00	0.031308
932.00	0.029683
