Wavelength (nm)	R-2, 262280-80-8, C6F5-Corrole.ems
550.00	0.0010301
551.00	0.0010677
552.00	0.0013404
553.00	0.0013046
554.00	0.0010364
555.00	0.0016678
556.00	0.0013896
557.00	0.0016972
558.00	0.0010810
559.00	0.0010400
560.00	0.0012441
561.00	0.0015313
562.00	0.0028103
563.00	0.0023017
564.00	0.0032159
565.00	0.0028165
566.00	0.0026435
567.00	0.0030500
568.00	0.0033220
569.00	0.0023408
570.00	0.0038769
571.00	0.0030063
572.00	0.0038109
573.00	0.0040082
574.00	0.0047950
575.00	0.0056408
576.00	0.0043411
577.00	0.0057269
578.00	0.0048495
579.00	0.0066996
580.00	0.0069609
581.00	0.0071982
582.00	0.0074465
583.00	0.0072187
584.00	0.0081297
585.00	0.0084093
586.00	0.0090070
587.00	0.0099196
588.00	0.010685
589.00	0.010544
590.00	0.012104
591.00	0.014613
592.00	0.015893
593.00	0.017091
594.00	0.020243
595.00	0.023971
596.00	0.027125
597.00	0.032841
598.00	0.038733
599.00	0.047794
600.00	0.055048
601.00	0.067464
602.00	0.075061
603.00	0.087752
604.00	0.10066
605.00	0.11537
606.00	0.12979
607.00	0.14223
608.00	0.15914
609.00	0.17135
610.00	0.18206
611.00	0.19769
612.00	0.20221
613.00	0.21436
614.00	0.22082
615.00	0.22873
616.00	0.23227
617.00	0.24099
618.00	0.24803
619.00	0.25183
620.00	0.26575
621.00	0.27267
622.00	0.28503
623.00	0.29165
624.00	0.31263
625.00	0.34133
626.00	0.35968
627.00	0.39508
628.00	0.42832
629.00	0.46358
630.00	0.50221
631.00	0.54760
632.00	0.59104
633.00	0.64558
634.00	0.68821
635.00	0.74160
636.00	0.78566
637.00	0.82233
638.00	0.87014
639.00	0.90917
640.00	0.92976
641.00	0.96091
642.00	0.97500
643.00	0.98259
644.00	1.00000
645.00	0.99819
646.00	0.99904
647.00	0.98994
648.00	0.98233
649.00	0.95510
650.00	0.94134
651.00	0.91293
652.00	0.89806
653.00	0.87279
654.00	0.83920
655.00	0.81690
656.00	0.78791
657.00	0.76607
658.00	0.72448
659.00	0.70084
660.00	0.66628
661.00	0.64164
662.00	0.62289
663.00	0.59168
664.00	0.57252
665.00	0.55188
666.00	0.51980
667.00	0.49529
668.00	0.48349
669.00	0.46152
670.00	0.44258
671.00	0.42765
672.00	0.40343
673.00	0.39602
674.00	0.38202
675.00	0.36323
676.00	0.35582
677.00	0.34752
678.00	0.33294
679.00	0.31941
680.00	0.31964
681.00	0.31137
682.00	0.29840
683.00	0.29852
684.00	0.29051
685.00	0.28905
686.00	0.28263
687.00	0.28689
688.00	0.28041
689.00	0.28141
690.00	0.27616
691.00	0.27884
692.00	0.28038
693.00	0.28264
694.00	0.28974
695.00	0.28701
696.00	0.29963
697.00	0.28776
698.00	0.29815
699.00	0.29402
700.00	0.29693
701.00	0.29249
702.00	0.30295
703.00	0.30350
704.00	0.30334
705.00	0.29889
706.00	0.29348
707.00	0.29408
708.00	0.29204
709.00	0.28920
710.00	0.28737
711.00	0.28633
712.00	0.27798
713.00	0.27614
714.00	0.27590
715.00	0.26066
716.00	0.25905
717.00	0.25671
718.00	0.24506
719.00	0.23546
720.00	0.23120
721.00	0.21967
722.00	0.21779
723.00	0.20596
724.00	0.20499
725.00	0.19426
726.00	0.19079
727.00	0.18815
728.00	0.18068
729.00	0.16724
730.00	0.16559
731.00	0.15810
732.00	0.15226
733.00	0.14591
734.00	0.14250
735.00	0.13142
736.00	0.13249
737.00	0.12763
738.00	0.11768
739.00	0.11492
740.00	0.11466
741.00	0.11109
742.00	0.10376
743.00	0.10771
744.00	0.095715
745.00	0.097099
746.00	0.090605
747.00	0.095018
748.00	0.087567
749.00	0.092429
750.00	0.086582
751.00	0.084620
752.00	0.079480
753.00	0.083036
754.00	0.081041
755.00	0.079966
756.00	0.076360
757.00	0.075308
758.00	0.069064
759.00	0.077095
760.00	0.067674
761.00	0.073458
762.00	0.069684
763.00	0.066470
764.00	0.072135
765.00	0.064399
766.00	0.069065
767.00	0.065870
768.00	0.073227
769.00	0.067953
770.00	0.068098
771.00	0.070632
772.00	0.068612
773.00	0.065859
774.00	0.069207
775.00	0.065422
776.00	0.067288
777.00	0.062928
778.00	0.068874
779.00	0.069641
780.00	0.066641
781.00	0.070395
782.00	0.067157
783.00	0.069477
784.00	0.063261
785.00	0.061428
786.00	0.061446
787.00	0.063579
788.00	0.062669
789.00	0.063308
790.00	0.069115
791.00	0.070542
792.00	0.064559
793.00	0.067274
794.00	0.063545
795.00	0.067554
796.00	0.068653
797.00	0.061978
798.00	0.064235
799.00	0.064842
800.00	0.062789
