Wavelength (nm)	R05 abs N
250.00	0.29768
251.00	0.29976
252.00	0.30355
253.00	0.30825
254.00	0.31256
255.00	0.31553
256.00	0.31834
257.00	0.31970
258.00	0.32338
259.00	0.32952
260.00	0.33457
261.00	0.34060
262.00	0.34917
263.00	0.34873
264.00	0.34667
265.00	0.35010
266.00	0.35042
267.00	0.35017
268.00	0.36395
269.00	0.37657
270.00	0.37011
271.00	0.36167
272.00	0.35861
273.00	0.35906
274.00	0.36060
275.00	0.36235
276.00	0.36380
277.00	0.36516
278.00	0.36604
279.00	0.36651
280.00	0.36664
281.00	0.36615
282.00	0.36547
283.00	0.36477
284.00	0.36357
285.00	0.36230
286.00	0.36120
287.00	0.36047
288.00	0.35979
289.00	0.36016
290.00	0.36061
291.00	0.36181
292.00	0.36370
293.00	0.36567
294.00	0.36856
295.00	0.37199
296.00	0.37594
297.00	0.37997
298.00	0.38450
299.00	0.38939
300.00	0.39395
301.00	0.39890
302.00	0.40428
303.00	0.40933
304.00	0.41449
305.00	0.41953
306.00	0.42436
307.00	0.42911
308.00	0.43340
309.00	0.43772
310.00	0.44135
311.00	0.44500
312.00	0.44816
313.00	0.45084
314.00	0.45348
315.00	0.45562
316.00	0.45726
317.00	0.45882
318.00	0.45960
319.00	0.46046
320.00	0.46056
321.00	0.46064
322.00	0.46070
323.00	0.46059
324.00	0.46026
325.00	0.46029
326.00	0.46008
327.00	0.46030
328.00	0.46118
329.00	0.46212
330.00	0.46345
331.00	0.46540
332.00	0.46785
333.00	0.47124
334.00	0.47526
335.00	0.47957
336.00	0.48473
337.00	0.49070
338.00	0.49765
339.00	0.50562
340.00	0.51386
341.00	0.52305
342.00	0.53325
343.00	0.54438
344.00	0.55630
345.00	0.56866
346.00	0.58171
347.00	0.59554
348.00	0.61037
349.00	0.62584
350.00	0.64165
351.00	0.65715
352.00	0.67319
353.00	0.68976
354.00	0.70744
355.00	0.72403
356.00	0.74121
357.00	0.75728
358.00	0.77314
359.00	0.78915
360.00	0.80818
361.00	0.82390
362.00	0.84288
363.00	0.85818
364.00	0.87447
365.00	0.88806
366.00	0.89773
367.00	0.91288
368.00	0.92393
369.00	0.93724
370.00	0.95158
371.00	0.96554
372.00	0.97734
373.00	0.98016
374.00	0.98800
375.00	0.99468
376.00	0.99620
377.00	1.0000
378.00	0.99494
379.00	0.99247
380.00	0.98649
381.00	0.97742
382.00	0.96952
383.00	0.95866
384.00	0.94326
385.00	0.92883
386.00	0.91289
387.00	0.89788
388.00	0.88155
389.00	0.86096
390.00	0.84071
391.00	0.82003
392.00	0.79926
393.00	0.77897
394.00	0.75577
395.00	0.73362
396.00	0.70901
397.00	0.68435
398.00	0.65930
399.00	0.63526
400.00	0.61044
401.00	0.58468
