Wavelength (nm)	R06 abs N
300.00	0.33552
300.25	0.33441
300.50	0.33298
300.75	0.33436
301.00	0.33625
301.25	0.33824
301.50	0.33726
301.75	0.33840
302.00	0.33827
302.25	0.33640
302.50	0.33712
302.75	0.33801
303.00	0.33708
303.25	0.33707
303.50	0.33687
303.75	0.33788
304.00	0.34090
304.25	0.34132
304.50	0.34186
304.75	0.34221
305.00	0.33894
305.25	0.33918
305.50	0.34009
305.75	0.33884
306.00	0.33919
306.25	0.33913
306.50	0.33777
306.75	0.34028
307.00	0.33890
307.25	0.33828
307.50	0.33704
307.75	0.33714
308.00	0.33570
308.25	0.33370
308.50	0.33134
308.75	0.32954
309.00	0.32811
309.25	0.32614
309.50	0.32665
309.75	0.32819
310.00	0.32448
310.25	0.32041
310.50	0.31364
310.75	0.31529
311.00	0.30760
311.25	0.31339
311.50	0.30946
311.75	0.30934
312.00	0.30441
312.25	0.29955
312.50	0.29926
312.75	0.29678
313.00	0.29294
313.25	0.29272
313.50	0.28992
313.75	0.28595
314.00	0.29343
314.25	0.28168
314.50	0.28442
314.75	0.27816
315.00	0.28002
315.25	0.28757
315.50	0.27754
315.75	0.28128
316.00	0.27805
316.25	0.27840
316.50	0.27477
316.75	0.27412
317.00	0.27571
317.25	0.28006
317.50	0.28047
317.75	0.28509
318.00	0.27964
318.25	0.27919
318.50	0.28143
318.75	0.27930
319.00	0.28133
319.25	0.27938
319.50	0.28762
319.75	0.28078
320.00	0.28407
320.25	0.28608
320.50	0.28531
320.75	0.28713
321.00	0.28635
321.25	0.28473
321.50	0.29176
321.75	0.28143
322.00	0.28772
322.25	0.28815
322.50	0.28422
322.75	0.29120
323.00	0.28438
323.25	0.28855
323.50	0.29031
323.75	0.28604
324.00	0.28342
324.25	0.28569
324.50	0.28040
324.75	0.27834
325.00	0.28084
325.25	0.27910
325.50	0.27576
325.75	0.28162
326.00	0.26970
326.25	0.27902
326.50	0.26985
326.75	0.27168
327.00	0.26795
327.25	0.26688
327.50	0.26659
327.75	0.25980
328.00	0.26072
328.25	0.25302
328.50	0.25849
328.75	0.25688
329.00	0.25553
329.25	0.25788
329.50	0.25414
329.75	0.24899
330.00	0.25344
330.25	0.25284
330.50	0.25564
330.75	0.25257
331.00	0.25374
331.25	0.25475
331.50	0.25496
331.75	0.25239
332.00	0.25529
332.25	0.25650
332.50	0.25666
332.75	0.25753
333.00	0.26520
333.25	0.26344
333.50	0.26731
333.75	0.26893
334.00	0.27027
334.25	0.27242
334.50	0.27306
334.75	0.27533
335.00	0.27299
335.25	0.28002
335.50	0.27768
335.75	0.29252
336.00	0.29083
336.25	0.29156
