Wavelength (nm)	S01 abs N
360.00	0.28692
360.25	0.29704
360.50	0.29800
360.75	0.29629
361.00	0.29519
361.25	0.29445
361.50	0.29757
361.75	0.29314
362.00	0.29098
362.25	0.28992
362.50	0.28489
362.75	0.28615
363.00	0.28636
363.25	0.28319
363.50	0.27861
363.75	0.27663
364.00	0.27671
364.25	0.27565
364.50	0.27144
364.75	0.26585
365.00	0.26538
365.25	0.26075
365.50	0.25659
365.75	0.25555
366.00	0.25798
366.25	0.25248
366.50	0.25251
366.75	0.24696
367.00	0.24714
367.25	0.24270
367.50	0.23931
367.75	0.23556
368.00	0.23416
368.25	0.22875
368.50	0.22910
368.75	0.22858
369.00	0.22455
369.25	0.22277
369.50	0.22305
369.75	0.21755
370.00	0.21547
370.25	0.21346
370.50	0.21204
370.75	0.20411
371.00	0.20539
371.25	0.20108
371.50	0.20000
371.75	0.19725
372.00	0.19722
372.25	0.19331
372.50	0.19310
372.75	0.19457
373.00	0.19023
373.25	0.18888
373.50	0.18817
373.75	0.18335
374.00	0.18557
374.25	0.18191
374.50	0.17869
374.75	0.17919
375.00	0.17824
375.25	0.17624
375.50	0.17561
375.75	0.17311
376.00	0.16931
376.25	0.16769
376.50	0.16311
376.75	0.16304
377.00	0.15998
377.25	0.16178
377.50	0.15891
377.75	0.15956
378.00	0.15706
378.25	0.15880
378.50	0.15621
378.75	0.15304
379.00	0.15139
379.25	0.14926
379.50	0.14981
379.75	0.14763
380.00	0.14599
380.25	0.14407
380.50	0.14286
380.75	0.14328
381.00	0.13962
381.25	0.14065
381.50	0.13758
381.75	0.13698
382.00	0.13592
382.25	0.13496
382.50	0.13421
382.75	0.13282
383.00	0.13559
383.25	0.13195
383.50	0.13295
383.75	0.13047
384.00	0.12930
384.25	0.12792
384.50	0.12898
384.75	0.12794
385.00	0.12624
385.25	0.12515
385.50	0.12526
385.75	0.12396
386.00	0.12164
386.25	0.12165
386.50	0.12037
386.75	0.12031
387.00	0.11736
387.25	0.11800
387.50	0.11644
387.75	0.11556
388.00	0.11522
388.25	0.11659
388.50	0.11450
388.75	0.11195
389.00	0.11357
389.25	0.11027
389.50	0.11056
389.75	0.10989
390.00	0.10809
390.25	0.11102
390.50	0.10868
390.75	0.11051
391.00	0.10906
391.25	0.10723
391.50	0.10773
391.75	0.10603
392.00	0.10707
392.25	0.10563
392.50	0.10571
392.75	0.10570
393.00	0.10482
393.25	0.10480
393.50	0.10244
393.75	0.10356
394.00	0.10240
394.25	0.10024
394.50	0.10035
394.75	0.10066
395.00	0.098730
395.25	0.098638
395.50	0.098429
395.75	0.099118
396.00	0.096431
396.25	0.098392
396.50	0.097870
396.75	0.097157
397.00	0.095853
397.25	0.096425
397.50	0.097525
397.75	0.096327
398.00	0.093726
398.25	0.094937
398.50	0.094224
398.75	0.092534
399.00	0.096142
399.25	0.094200
399.50	0.094667
399.75	0.093265
400.00	0.093247
400.25	0.092780
400.50	0.092196
400.75	0.090481
401.00	0.091323
401.25	0.090942
401.50	0.090333
401.75	0.090468
402.00	0.089079
402.25	0.090081
402.50	0.086786
402.75	0.086663
403.00	0.086079
403.25	0.085071
403.50	0.085434
403.75	0.085975
404.00	0.084757
404.25	0.087548
404.50	0.085262
404.75	0.084751
405.00	0.084684
405.25	0.083878
405.50	0.083245
405.75	0.083485
406.00	0.081340
406.25	0.082483
406.50	0.081911
406.75	0.083565
407.00	0.081518
407.25	0.079569
407.50	0.081340
407.75	0.080301
408.00	0.082089
408.25	0.080952
408.50	0.081210
408.75	0.079772
409.00	0.081315
409.25	0.080411
409.50	0.078247
409.75	0.078936
410.00	0.075745
410.25	0.078850
410.50	0.077172
410.75	0.076090
411.00	0.077682
411.25	0.075752
411.50	0.076637
411.75	0.075973
412.00	0.076206
412.25	0.075051
412.50	0.075881
412.75	0.076237
413.00	0.074301
413.25	0.073631
413.50	0.073164
413.75	0.073508
414.00	0.071264
414.25	0.071535
414.50	0.071172
414.75	0.072125
415.00	0.071172
415.25	0.071903
415.50	0.072143
415.75	0.071141
416.00	0.071221
416.25	0.070957
416.50	0.070717
416.75	0.069063
417.00	0.069401
417.25	0.068781
417.50	0.068240
417.75	0.067502
418.00	0.066906
418.25	0.068110
418.50	0.067281
418.75	0.065977
419.00	0.066924
419.25	0.065934
419.50	0.065916
419.75	0.065197
420.00	0.065344
420.25	0.064699
420.50	0.063863
420.75	0.062947
421.00	0.062787
421.25	0.062584
421.50	0.061883
421.75	0.060660
422.00	0.061238
422.25	0.061785
422.50	0.060635
422.75	0.059627
423.00	0.059086
423.25	0.059252
423.50	0.059191
423.75	0.059049
424.00	0.058428
424.25	0.057396
424.50	0.057414
424.75	0.058035
425.00	0.056295
425.25	0.056369
425.50	0.057543
425.75	0.056775
426.00	0.055871
426.25	0.056056
426.50	0.055478
426.75	0.055877
427.00	0.054931
427.25	0.054580
427.50	0.054039
427.75	0.053351
428.00	0.052976
428.25	0.051095
428.50	0.051168
428.75	0.052496
429.00	0.050966
429.25	0.049619
429.50	0.049330
429.75	0.049128
430.00	0.048875
430.25	0.049939
430.50	0.047806
430.75	0.047708
431.00	0.049085
431.25	0.048328
431.50	0.046736
431.75	0.046441
432.00	0.045107
432.25	0.045869
432.50	0.045992
432.75	0.046134
433.00	0.046367
433.25	0.045740
433.50	0.045925
433.75	0.045083
434.00	0.044456
434.25	0.044019
434.50	0.043238
434.75	0.044179
435.00	0.042101
435.25	0.041167
435.50	0.042372
435.75	0.041320
436.00	0.041954
436.25	0.041314
436.50	0.040466
436.75	0.039993
437.00	0.040146
437.25	0.039458
437.50	0.040097
437.75	0.038843
438.00	0.037521
438.25	0.038105
438.50	0.037749
438.75	0.036827
439.00	0.036630
439.25	0.036452
439.50	0.036212
439.75	0.035683
440.00	0.036716
440.25	0.036630
440.50	0.036206
440.75	0.034374
441.00	0.034362
441.25	0.033765
441.50	0.033507
441.75	0.033864
442.00	0.034079
442.25	0.033489
442.50	0.034011
442.75	0.032511
443.00	0.032659
443.25	0.032493
443.50	0.030606
443.75	0.030501
444.00	0.031847
444.25	0.031411
444.50	0.030925
444.75	0.030237
445.00	0.029136
445.25	0.030268
445.50	0.029499
445.75	0.029524
446.00	0.028995
446.25	0.028595
446.50	0.028970
446.75	0.028110
447.00	0.027538
447.25	0.026782
447.50	0.028694
447.75	0.026542
448.00	0.027753
448.25	0.027956
448.50	0.026684
448.75	0.027354
449.00	0.025460
449.25	0.026905
449.50	0.026284
449.75	0.026044
450.00	0.025227
450.25	0.025301
450.50	0.025632
450.75	0.024827
451.00	0.024796
451.25	0.025448
451.50	0.024403
451.75	0.024040
452.00	0.024059
452.25	0.023647
452.50	0.023967
452.75	0.024046
453.00	0.023960
453.25	0.024003
453.50	0.022639
453.75	0.022135
454.00	0.021170
454.25	0.021963
454.50	0.021243
454.75	0.021618
455.00	0.021348
455.25	0.020905
455.50	0.022202
455.75	0.021206
456.00	0.020432
456.25	0.021581
456.50	0.020887
456.75	0.020450
457.00	0.020432
457.25	0.020131
457.50	0.020137
457.75	0.020573
458.00	0.020247
458.25	0.019645
458.50	0.019713
458.75	0.018815
459.00	0.018588
459.25	0.018071
459.50	0.017426
459.75	0.017961
460.00	0.017524
460.25	0.017198
460.50	0.017364
460.75	0.017205
461.00	0.017862
461.25	0.017383
461.50	0.016879
461.75	0.016246
462.00	0.016719
462.25	0.016866
462.50	0.016707
462.75	0.017198
463.00	0.015200
463.25	0.014905
463.50	0.015864
463.75	0.015483
464.00	0.014653
464.25	0.014660
464.50	0.015004
464.75	0.014795
465.00	0.013836
465.25	0.014604
465.50	0.014321
465.75	0.013258
466.00	0.014045
466.25	0.013473
466.50	0.013074
466.75	0.014014
467.00	0.013455
467.25	0.014383
467.50	0.013701
467.75	0.012858
468.00	0.013332
468.25	0.011764
468.50	0.013805
468.75	0.013209
469.00	0.012957
469.25	0.012483
469.50	0.013473
469.75	0.012533
470.00	0.011985
470.25	0.011414
470.50	0.012022
470.75	0.012379
471.00	0.011936
471.25	0.011033
471.50	0.010252
471.75	0.010252
472.00	0.0098523
472.25	0.0095204
472.50	0.010332
472.75	0.0093974
473.00	0.0095511
473.25	0.010086
473.50	0.010522
473.75	0.0099814
474.00	0.0099322
474.25	0.010166
474.50	0.0098830
474.75	0.010098
475.00	0.0089855
475.25	0.0098646
475.50	0.0082110
475.75	0.0078729
476.00	0.0083155
476.25	0.0082356
476.50	0.0086228
476.75	0.0084261
477.00	0.0088134
477.25	0.0086474
477.50	0.0082294
477.75	0.0095941
478.00	0.0092007
478.25	0.0088749
478.50	0.0089364
478.75	0.0092929
479.00	0.0084077
479.25	0.0086536
479.50	0.0083647
479.75	0.0075471
480.00	0.0075040
480.25	0.0073073
480.50	0.0083524
480.75	0.0073688
481.00	0.0084876
481.25	0.0079958
481.50	0.0063115
481.75	0.0068647
482.00	0.0056168
482.25	0.0076270
482.50	0.0072090
482.75	0.0077008
483.00	0.0084077
483.25	0.0077868
483.50	0.0080327
483.75	0.0066619
484.00	0.0077069
484.25	0.0070184
484.50	0.0070676
484.75	0.0058688
485.00	0.0058320
485.25	0.0059611
485.50	0.0066004
485.75	0.0056291
486.00	0.0060779
486.25	0.0063545
486.50	0.0052480
486.75	0.0049529
487.00	0.0059856
487.25	0.0054631
487.50	0.0073811
487.75	0.0050574
488.00	0.0066188
488.25	0.0058566
488.50	0.0055553
488.75	0.0047254
489.00	0.0050021
489.25	0.0050451
489.50	0.0051619
489.75	0.0056844
490.00	0.0055246
490.25	0.0044857
490.50	0.0059242
490.75	0.0056783
491.00	0.0063176
491.25	0.0045349
491.50	0.0051373
491.75	0.0047009
492.00	0.0045841
492.25	0.0048730
492.50	0.0053832
492.75	0.0056537
493.00	0.0058381
493.25	0.0059180
493.50	0.0054939
493.75	0.0050144
494.00	0.0050451
494.25	0.0057643
494.50	0.0053525
494.75	0.0038095
495.00	0.0045841
495.25	0.0048361
495.50	0.0053832
495.75	0.0043320
496.00	0.0048853
496.25	0.0050574
496.50	0.0040923
496.75	0.0054693
497.00	0.0058996
497.25	0.0058566
497.50	0.0054939
497.75	0.0034345
498.00	0.0027030
498.25	0.0036927
498.50	0.0045656
498.75	0.0036312
499.00	0.0032071
499.25	0.0041537
499.50	0.0037788
499.75	0.0040677
500.00	0.0045349
500.25	0.0040090
500.50	0.0044236
500.75	0.0037994
501.00	0.0043246
501.25	0.0054770
501.50	0.0049142
501.75	0.0057899
502.00	0.0066410
502.25	0.0040495
502.50	0.0049867
502.75	0.0055181
503.00	0.0040210
503.25	0.0057388
503.50	0.0048134
503.75	0.0046133
504.00	0.0029071
504.25	0.0043729
504.50	0.0041421
504.75	0.0033949
505.00	0.0050881
505.25	0.0045807
505.50	0.0059359
505.75	0.0052501
506.00	0.0042570
506.25	0.0052864
506.50	0.0043117
506.75	0.0041977
507.00	0.0049750
507.25	0.0049901
507.50	0.0049560
507.75	0.0031637
508.00	0.0041439
508.25	0.0045401
508.50	0.0061043
508.75	0.0042629
509.00	0.0058824
509.25	0.0057622
509.50	0.0063920
509.75	0.0052759
510.00	0.0056230
510.25	0.0066400
510.50	0.0055424
510.75	0.0063751
511.00	0.0056709
511.25	0.0057167
511.50	0.0063096
511.75	0.0058329
512.00	0.0044587
512.25	0.0050823
512.50	0.0054785
512.75	0.0071595
513.00	0.0071868
513.25	0.0072265
513.50	0.0077333
513.75	0.0071337
514.00	0.0062020
514.25	0.0074896
514.50	0.0056605
514.75	0.0063702
515.00	0.0064467
515.25	0.0059208
515.50	0.0065076
515.75	0.0065718
516.00	0.0073245
516.25	0.0066327
516.50	0.0072932
516.75	0.0064476
517.00	0.0064135
517.25	0.0086846
517.50	0.0079989
517.75	0.0090467
518.00	0.0071192
518.25	0.0086035
518.50	0.0079239
518.75	0.0094020
519.00	0.0085257
519.25	0.0074834
519.50	0.0083161
519.75	0.0074275
520.00	0.0087335
520.25	0.0074392
