Wavelength (nm)	S-2, 1661-03-6, MgPc.ems
660.00	0.073424
660.50	0.085471
661.00	0.10062
661.50	0.11503
662.00	0.12965
662.50	0.14760
663.00	0.16785
663.50	0.19153
664.00	0.21100
664.50	0.23662
665.00	0.26087
665.50	0.29793
666.00	0.32062
666.50	0.35789
667.00	0.38575
667.50	0.42743
668.00	0.45564
668.50	0.49595
669.00	0.52863
669.50	0.57781
670.00	0.60493
670.50	0.65050
671.00	0.68499
671.50	0.73274
672.00	0.76632
672.50	0.80041
673.00	0.83301
673.50	0.87211
674.00	0.89269
674.50	0.91916
675.00	0.93779
675.50	0.96500
676.00	0.97504
676.50	0.98481
677.00	0.99747
677.50	0.99554
678.00	1.00000
678.50	0.99678
679.00	0.99448
679.50	0.97658
680.00	0.96877
680.50	0.95296
681.00	0.93692
681.50	0.90990
682.00	0.89707
682.50	0.86978
683.00	0.84494
683.50	0.80731
684.00	0.78715
684.50	0.75952
685.00	0.73185
685.50	0.69913
686.00	0.67564
686.50	0.65409
687.00	0.62367
687.50	0.59491
688.00	0.57385
688.50	0.54634
689.00	0.52841
689.50	0.49766
690.00	0.48255
690.50	0.45745
691.00	0.44144
691.50	0.41411
692.00	0.40589
692.50	0.38300
693.00	0.36863
693.50	0.35026
694.00	0.33833
694.50	0.32255
695.00	0.30861
695.50	0.29341
696.00	0.28490
696.50	0.27347
697.00	0.26321
697.50	0.25178
698.00	0.24425
698.50	0.23788
699.00	0.23183
699.50	0.22453
700.00	0.22027
700.50	0.21388
701.00	0.20922
701.50	0.20356
702.00	0.20047
702.50	0.19657
703.00	0.19608
703.50	0.19183
704.00	0.18928
704.50	0.18783
705.00	0.18615
705.50	0.18280
706.00	0.18065
706.50	0.18070
707.00	0.17779
707.50	0.17467
708.00	0.17280
708.50	0.17329
709.00	0.17106
709.50	0.16682
710.00	0.16656
710.50	0.16453
711.00	0.16245
711.50	0.16042
712.00	0.15880
712.50	0.15592
713.00	0.15470
713.50	0.15107
714.00	0.15177
714.50	0.14855
715.00	0.14421
715.50	0.14375
716.00	0.13990
716.50	0.13813
717.00	0.13583
717.50	0.13147
718.00	0.13020
718.50	0.12633
719.00	0.12413
719.50	0.12172
720.00	0.11925
720.50	0.11740
721.00	0.11539
721.50	0.11381
722.00	0.11083
722.50	0.11075
723.00	0.10685
723.50	0.10562
724.00	0.10449
724.50	0.10388
725.00	0.10268
725.50	0.10082
726.00	0.099553
726.50	0.10043
727.00	0.099378
727.50	0.098359
728.00	0.099037
728.50	0.098110
729.00	0.097589
729.50	0.096943
730.00	0.098653
730.50	0.097701
731.00	0.097926
731.50	0.099259
732.00	0.10022
732.50	0.099349
733.00	0.10051
733.50	0.10315
734.00	0.10307
734.50	0.10526
735.00	0.10486
735.50	0.10762
736.00	0.10744
736.50	0.11069
737.00	0.11154
737.50	0.11244
738.00	0.11256
738.50	0.11468
739.00	0.11556
739.50	0.11722
740.00	0.12059
740.50	0.12060
741.00	0.12127
741.50	0.12469
742.00	0.12459
742.50	0.12627
743.00	0.12594
743.50	0.12799
744.00	0.13025
744.50	0.12909
745.00	0.12935
745.50	0.13210
746.00	0.13053
746.50	0.13109
747.00	0.13311
747.50	0.13313
748.00	0.13296
748.50	0.13235
749.00	0.13306
749.50	0.13092
750.00	0.13213
750.50	0.13104
751.00	0.12922
751.50	0.12697
752.00	0.12731
752.50	0.12709
753.00	0.12529
753.50	0.12117
754.00	0.12274
754.50	0.11779
755.00	0.11522
755.50	0.11500
756.00	0.11134
756.50	0.10863
757.00	0.10670
757.50	0.10173
758.00	0.099677
758.50	0.10061
759.00	0.096549
759.50	0.091814
760.00	0.088155
760.50	0.084975
761.00	0.084516
761.50	0.081082
762.00	0.077083
762.50	0.076308
763.00	0.073138
763.50	0.070082
764.00	0.069321
764.50	0.064808
765.00	0.063498
765.50	0.060845
766.00	0.058047
766.50	0.053334
767.00	0.054560
767.50	0.049823
768.00	0.048357
768.50	0.046961
769.00	0.044886
769.50	0.041851
770.00	0.039180
770.50	0.039367
771.00	0.038914
771.50	0.034845
772.00	0.033848
772.50	0.031390
773.00	0.029966
773.50	0.029059
774.00	0.029045
774.50	0.027407
775.00	0.025312
775.50	0.024268
776.00	0.024117
776.50	0.023343
777.00	0.022626
777.50	0.021146
778.00	0.019983
778.50	0.019499
779.00	0.018600
779.50	0.017551
780.00	0.018668
780.50	0.017655
781.00	0.015425
781.50	0.016146
782.00	0.014479
782.50	0.014090
783.00	0.014502
783.50	0.012799
784.00	0.012696
784.50	0.012444
785.00	0.012315
785.50	0.011585
786.00	0.010923
786.50	0.011255
787.00	0.010295
787.50	0.010508
788.00	0.0098805
788.50	0.0098211
789.00	0.0099779
789.50	0.0090976
790.00	0.0079022
790.50	0.0076656
791.00	0.0078687
791.50	0.0076725
792.00	0.0077753
792.50	0.0072835
793.00	0.0069892
793.50	0.0068160
794.00	0.0055826
794.50	0.0065084
795.00	0.0062481
795.50	0.0064362
796.00	0.0056744
796.50	0.0046942
797.00	0.0059519
797.50	0.0041254
798.00	0.0032262
798.50	0.0039223
799.00	0.0034894
799.50	0.0034597
800.00	0.0035858
