Wavelength (nm)	S03 abs N
300.00	0.93131
301.00	0.93689
302.00	0.94257
303.00	0.94691
304.00	0.95030
305.00	0.95465
306.00	0.95718
307.00	0.95697
308.00	0.95825
309.00	0.95736
310.00	0.95514
311.00	0.95427
312.00	0.95223
313.00	0.94908
314.00	0.94488
315.00	0.94019
316.00	0.93511
317.00	0.92938
318.00	0.92399
319.00	0.91986
320.00	0.91217
321.00	0.90771
322.00	0.90229
323.00	0.89726
324.00	0.89292
325.00	0.88889
326.00	0.88425
327.00	0.88107
328.00	0.87737
329.00	0.87339
330.00	0.86999
331.00	0.86748
332.00	0.86371
333.00	0.86071
334.00	0.85729
335.00	0.85456
336.00	0.85064
337.00	0.84730
338.00	0.84413
339.00	0.84038
340.00	0.83662
341.00	0.83327
342.00	0.82967
343.00	0.82528
344.00	0.82155
345.00	0.81745
346.00	0.81294
347.00	0.80846
348.00	0.80432
349.00	0.79965
350.00	0.79373
351.00	0.78847
352.00	0.78157
353.00	0.77567
354.00	0.76829
355.00	0.76064
356.00	0.75295
357.00	0.74493
358.00	0.73678
359.00	0.72685
360.00	0.71738
361.00	0.70647
362.00	0.69509
363.00	0.68324
364.00	0.67101
365.00	0.65772
366.00	0.64301
367.00	0.62808
368.00	0.61207
369.00	0.59452
370.00	0.57610
371.00	0.55766
372.00	0.54002
373.00	0.52037
374.00	0.50096
375.00	0.48130
376.00	0.46291
377.00	0.44659
378.00	0.42963
379.00	0.41443
380.00	0.39985
381.00	0.38596
382.00	0.37420
383.00	0.36381
384.00	0.35284
385.00	0.34377
386.00	0.33510
387.00	0.32583
388.00	0.31858
389.00	0.31157
390.00	0.30484
391.00	0.29923
392.00	0.29253
393.00	0.28672
394.00	0.28207
395.00	0.27732
396.00	0.27211
397.00	0.26795
398.00	0.26385
399.00	0.25926
400.00	0.25583
401.00	0.25282
402.00	0.24976
403.00	0.24684
404.00	0.24466
405.00	0.24264
406.00	0.24042
407.00	0.23810
408.00	0.23729
409.00	0.23678
410.00	0.23614
411.00	0.23507
412.00	0.23471
413.00	0.23498
414.00	0.23433
415.00	0.23472
416.00	0.23548
417.00	0.23731
418.00	0.23810
419.00	0.23881
420.00	0.24014
421.00	0.24106
422.00	0.24196
423.00	0.24263
424.00	0.24373
425.00	0.24466
426.00	0.24401
427.00	0.24473
428.00	0.24472
429.00	0.24401
430.00	0.24344
431.00	0.24162
432.00	0.23989
433.00	0.23834
434.00	0.23542
435.00	0.23205
436.00	0.22940
437.00	0.22634
438.00	0.22200
439.00	0.21750
440.00	0.21336
441.00	0.20845
442.00	0.20437
443.00	0.19907
444.00	0.19462
445.00	0.18969
446.00	0.18499
447.00	0.18062
448.00	0.17576
449.00	0.17134
450.00	0.16777
451.00	0.16408
452.00	0.15997
453.00	0.15685
454.00	0.15300
455.00	0.14997
456.00	0.14747
457.00	0.14493
458.00	0.14184
459.00	0.13873
460.00	0.13644
461.00	0.13380
462.00	0.13225
463.00	0.13028
464.00	0.12718
465.00	0.12500
466.00	0.12286
467.00	0.12022
468.00	0.11853
469.00	0.11666
470.00	0.11450
471.00	0.11322
472.00	0.11070
473.00	0.11002
474.00	0.10756
475.00	0.10530
476.00	0.10202
477.00	0.099311
478.00	0.097597
479.00	0.095586
480.00	0.093206
481.00	0.090333
482.00	0.088330
483.00	0.085230
484.00	0.082072
485.00	0.080370
486.00	0.077552
487.00	0.073770
488.00	0.070128
489.00	0.069945
490.00	0.067540
491.00	0.065353
492.00	0.062391
493.00	0.059912
494.00	0.057598
495.00	0.055165
496.00	0.051947
497.00	0.049591
498.00	0.048070
499.00	0.045596
500.00	0.043552
501.00	0.041633
502.00	0.039054
503.00	0.036988
504.00	0.034750
505.00	0.032783
506.00	0.030039
507.00	0.028742
508.00	0.026049
509.00	0.025300
510.00	0.023916
511.00	0.022280
512.00	0.020390
513.00	0.019024
514.00	0.016649
515.00	0.016557
516.00	0.015156
517.00	0.013427
518.00	0.011702
519.00	0.012102
520.00	0.010243
521.00	0.0079947
522.00	0.0076171
523.00	0.0062115
524.00	0.0053127
525.00	0.0062296
526.00	0.0047099
527.00	0.0031535
528.00	0.0032060
529.00	0.0025267
530.00	0.0023550
531.00	0.0031474
532.00	0.0027171
533.00	0.0025965
534.00	0.0025964
535.00	0.0023576
536.00	0.0023527
537.00	0.0029185
538.00	0.0033390
539.00	0.0038504
540.00	0.0037498
541.00	0.0043825
542.00	0.0051981
543.00	0.0060568
544.00	0.0063807
545.00	0.0079576
546.00	0.0092616
547.00	0.010784
548.00	0.012315
549.00	0.013645
550.00	0.015527
551.00	0.017131
552.00	0.019172
553.00	0.020867
554.00	0.024026
555.00	0.024504
556.00	0.026884
557.00	0.029396
558.00	0.030771
559.00	0.032322
560.00	0.033794
561.00	0.034989
562.00	0.037078
563.00	0.038257
564.00	0.039736
565.00	0.040999
566.00	0.042153
567.00	0.044478
568.00	0.046409
569.00	0.048500
570.00	0.051149
571.00	0.052643
572.00	0.055463
573.00	0.057833
574.00	0.061128
575.00	0.063265
576.00	0.065814
577.00	0.068928
578.00	0.072230
579.00	0.074137
580.00	0.077898
581.00	0.081391
582.00	0.085048
583.00	0.086546
584.00	0.092689
585.00	0.099188
586.00	0.10362
587.00	0.11105
588.00	0.11873
589.00	0.12541
590.00	0.13471
591.00	0.14418
592.00	0.15410
593.00	0.16395
594.00	0.17230
595.00	0.18163
596.00	0.18892
597.00	0.19707
598.00	0.20324
599.00	0.20721
600.00	0.20848
601.00	0.20807
602.00	0.20622
603.00	0.20331
604.00	0.20020
605.00	0.19550
606.00	0.19163
607.00	0.18710
608.00	0.18275
609.00	0.17868
610.00	0.17443
611.00	0.17115
612.00	0.16823
613.00	0.16577
614.00	0.16461
615.00	0.16393
616.00	0.16416
617.00	0.16501
618.00	0.16753
619.00	0.17002
620.00	0.17425
621.00	0.17865
622.00	0.18463
623.00	0.19092
624.00	0.19812
625.00	0.20576
626.00	0.21526
627.00	0.22495
628.00	0.23621
629.00	0.24755
630.00	0.25870
631.00	0.26866
632.00	0.27895
633.00	0.28739
634.00	0.29412
635.00	0.29966
636.00	0.30334
637.00	0.30582
638.00	0.30840
639.00	0.31238
640.00	0.31465
641.00	0.32301
642.00	0.33134
643.00	0.34353
644.00	0.35781
645.00	0.37426
646.00	0.39479
647.00	0.41781
648.00	0.44618
649.00	0.47594
650.00	0.51296
651.00	0.55468
652.00	0.60222
653.00	0.65641
654.00	0.70899
655.00	0.78951
656.00	0.83038
657.00	0.83866
658.00	0.90597
659.00	0.95887
660.00	0.98548
661.00	0.99958
662.00	1.0000
663.00	0.98583
664.00	0.95836
665.00	0.92052
666.00	0.87528
667.00	0.82306
668.00	0.76489
669.00	0.70589
670.00	0.65010
671.00	0.59125
672.00	0.53787
673.00	0.48937
674.00	0.44120
675.00	0.39999
676.00	0.36282
677.00	0.32988
678.00	0.29999
679.00	0.27556
680.00	0.25289
681.00	0.23316
682.00	0.21610
683.00	0.20036
684.00	0.18615
685.00	0.17478
686.00	0.16526
687.00	0.15680
688.00	0.14846
689.00	0.14169
690.00	0.13511
691.00	0.12975
692.00	0.12571
693.00	0.12139
694.00	0.11768
695.00	0.11484
696.00	0.11167
697.00	0.10787
698.00	0.10544
699.00	0.10218
700.00	0.099633
701.00	0.095974
702.00	0.092344
703.00	0.088109
704.00	0.085031
705.00	0.081572
706.00	0.077803
707.00	0.073705
708.00	0.070959
709.00	0.067770
710.00	0.063456
711.00	0.059973
712.00	0.056042
713.00	0.052247
714.00	0.049337
715.00	0.046793
716.00	0.044303
717.00	0.041510
718.00	0.038309
719.00	0.036294
720.00	0.034567
721.00	0.032437
722.00	0.029905
723.00	0.028233
724.00	0.026557
725.00	0.024479
726.00	0.022411
727.00	0.022162
728.00	0.019952
729.00	0.019038
730.00	0.017984
731.00	0.016139
732.00	0.015783
733.00	0.014434
734.00	0.013004
735.00	0.013295
736.00	0.012508
737.00	0.010986
738.00	0.011151
739.00	0.0098462
740.00	0.0099116
741.00	0.0094118
742.00	0.0077078
743.00	0.0078721
744.00	0.0081042
745.00	0.0068279
746.00	0.0065916
747.00	0.0058332
748.00	0.0064780
749.00	0.0055704
750.00	0.0051529
751.00	0.0049788
752.00	0.0057545
753.00	0.0049347
754.00	0.0038228
755.00	0.0046368
756.00	0.0034698
757.00	0.0027083
758.00	0.0032461
759.00	0.0035788
760.00	0.0031549
761.00	0.0031221
762.00	0.0047708
763.00	0.0029032
764.00	0.0026181
765.00	0.0024879
