Wavelength (nm)	S04 abs N
340.00	0.24304
340.25	0.24373
340.50	0.24213
340.75	0.24282
341.00	0.24391
341.25	0.24802
341.50	0.24487
341.75	0.24198
342.00	0.24562
342.25	0.24458
342.50	0.24849
342.75	0.25025
343.00	0.24934
343.25	0.24620
343.50	0.24993
343.75	0.24417
344.00	0.24816
344.25	0.24582
344.50	0.25328
344.75	0.24740
345.00	0.24579
345.25	0.24494
345.50	0.24633
345.75	0.24552
346.00	0.24987
346.25	0.24145
346.50	0.24607
346.75	0.24843
347.00	0.24621
347.25	0.24628
347.50	0.24906
347.75	0.24436
348.00	0.24242
348.25	0.24805
348.50	0.24307
348.75	0.24630
349.00	0.24262
349.25	0.24123
349.50	0.24278
349.75	0.24191
350.00	0.24044
350.25	0.23920
350.50	0.23978
350.75	0.24020
351.00	0.23995
351.25	0.23926
351.50	0.23790
351.75	0.23247
352.00	0.23458
352.25	0.23116
352.50	0.23581
352.75	0.23424
353.00	0.23336
353.25	0.23076
353.50	0.23246
353.75	0.23121
354.00	0.23262
354.25	0.23094
354.50	0.23225
354.75	0.23049
355.00	0.22828
355.25	0.22720
355.50	0.22531
355.75	0.22783
356.00	0.22593
356.25	0.22588
356.50	0.22195
356.75	0.22512
357.00	0.22374
357.25	0.22245
357.50	0.22265
357.75	0.22213
358.00	0.22130
358.25	0.21773
358.50	0.22028
358.75	0.21853
359.00	0.21693
359.25	0.21722
359.50	0.21971
359.75	0.21974
360.00	0.21757
360.25	0.21703
360.50	0.21485
360.75	0.21156
361.00	0.21204
361.25	0.21249
361.50	0.21114
361.75	0.21100
362.00	0.21021
362.25	0.21191
362.50	0.21036
362.75	0.20732
363.00	0.20725
363.25	0.20643
363.50	0.20702
363.75	0.20542
364.00	0.20610
364.25	0.20061
364.50	0.20292
364.75	0.20213
365.00	0.19958
365.25	0.20137
365.50	0.19677
365.75	0.19911
366.00	0.19690
366.25	0.19477
366.50	0.19576
366.75	0.19263
367.00	0.19373
367.25	0.19110
367.50	0.19218
367.75	0.18966
368.00	0.18871
368.25	0.18838
368.50	0.18750
368.75	0.18459
369.00	0.18327
369.25	0.18301
369.50	0.18247
