Wavelength (nm)	S-4, 14320-04-8, ZnPc.ems
660.00	0.083215
660.50	0.095916
661.00	0.11235
661.50	0.12782
662.00	0.14228
662.50	0.16128
663.00	0.18217
663.50	0.20735
664.00	0.22725
664.50	0.25239
665.00	0.27686
665.50	0.31383
666.00	0.33707
666.50	0.37093
667.00	0.39907
667.50	0.44471
668.00	0.46797
668.50	0.51086
669.00	0.53953
669.50	0.58971
670.00	0.61533
670.50	0.65347
671.00	0.69272
671.50	0.73864
672.00	0.76578
672.50	0.80609
673.00	0.83729
673.50	0.86969
674.00	0.89321
674.50	0.92021
675.00	0.93979
675.50	0.95983
676.00	0.97335
676.50	0.98503
677.00	0.99152
677.50	0.99646
678.00	0.99873
678.50	1.0000
679.00	0.99019
679.50	0.97776
680.00	0.97337
680.50	0.96028
681.00	0.94381
681.50	0.91617
682.00	0.90654
682.50	0.88200
683.00	0.86014
683.50	0.82562
684.00	0.80387
684.50	0.78150
685.00	0.75293
685.50	0.72305
686.00	0.70282
686.50	0.67854
687.00	0.65533
687.50	0.62279
688.00	0.60329
688.50	0.57421
689.00	0.55730
689.50	0.52829
690.00	0.51645
690.50	0.48821
691.00	0.47487
691.50	0.44778
692.00	0.43559
692.50	0.41426
693.00	0.40226
693.50	0.38346
694.00	0.37058
694.50	0.35401
695.00	0.34296
695.50	0.32819
696.00	0.31831
696.50	0.30668
697.00	0.29342
697.50	0.28386
698.00	0.27646
698.50	0.26905
699.00	0.26263
699.50	0.25273
700.00	0.24607
700.50	0.24280
701.00	0.23820
701.50	0.22913
702.00	0.22820
702.50	0.22378
703.00	0.22175
703.50	0.21803
704.00	0.21528
704.50	0.21162
705.00	0.21073
705.50	0.20621
706.00	0.20489
706.50	0.19923
707.00	0.19813
707.50	0.19676
708.00	0.19559
708.50	0.19256
709.00	0.18946
709.50	0.18616
710.00	0.18794
710.50	0.18537
711.00	0.17972
711.50	0.17812
712.00	0.17807
712.50	0.17456
713.00	0.17126
713.50	0.16728
714.00	0.16563
714.50	0.16186
715.00	0.16018
715.50	0.15628
716.00	0.15580
716.50	0.15149
717.00	0.15013
717.50	0.14784
718.00	0.14166
718.50	0.14069
719.00	0.13694
719.50	0.13180
720.00	0.13226
720.50	0.12859
721.00	0.12633
721.50	0.12430
722.00	0.12054
722.50	0.12044
723.00	0.12052
723.50	0.11800
724.00	0.11396
724.50	0.11315
725.00	0.11490
725.50	0.11146
726.00	0.10971
726.50	0.10866
727.00	0.10881
727.50	0.10676
728.00	0.10678
728.50	0.10711
729.00	0.10711
729.50	0.10696
730.00	0.10758
730.50	0.10521
731.00	0.10724
731.50	0.10839
732.00	0.10856
732.50	0.10916
733.00	0.10996
733.50	0.11373
734.00	0.11060
734.50	0.11228
735.00	0.11535
735.50	0.11449
736.00	0.11578
736.50	0.11527
737.00	0.11933
737.50	0.11980
738.00	0.12036
738.50	0.12368
739.00	0.12164
739.50	0.12357
740.00	0.12376
740.50	0.12545
741.00	0.12850
741.50	0.13056
742.00	0.12742
742.50	0.13111
743.00	0.13133
743.50	0.13428
744.00	0.13531
744.50	0.13266
745.00	0.13660
745.50	0.13827
746.00	0.13598
746.50	0.13725
747.00	0.13862
747.50	0.13599
748.00	0.13909
748.50	0.13551
749.00	0.13583
749.50	0.13732
750.00	0.13702
750.50	0.13574
751.00	0.13766
751.50	0.13368
752.00	0.13289
752.50	0.12962
753.00	0.12970
753.50	0.12891
754.00	0.12734
754.50	0.12069
755.00	0.12179
755.50	0.11743
756.00	0.11690
756.50	0.11211
757.00	0.11117
757.50	0.10615
758.00	0.10765
758.50	0.10401
759.00	0.10068
759.50	0.099147
760.00	0.094176
760.50	0.092417
761.00	0.087076
761.50	0.086509
762.00	0.084649
762.50	0.081739
763.00	0.077898
763.50	0.077013
764.00	0.072889
764.50	0.072547
765.00	0.068222
765.50	0.068705
766.00	0.060925
766.50	0.061593
767.00	0.059336
767.50	0.057138
768.00	0.053737
768.50	0.050341
769.00	0.050042
769.50	0.048896
770.00	0.045025
770.50	0.045571
771.00	0.040638
771.50	0.039759
772.00	0.039456
772.50	0.037550
773.00	0.034701
773.50	0.033664
774.00	0.032537
774.50	0.032764
775.00	0.030473
775.50	0.027971
776.00	0.028379
776.50	0.027836
777.00	0.026519
777.50	0.024864
778.00	0.024642
778.50	0.021593
779.00	0.021771
779.50	0.020737
780.00	0.021124
780.50	0.019498
781.00	0.018038
781.50	0.017949
782.00	0.017506
782.50	0.016484
783.00	0.015756
783.50	0.016297
784.00	0.016774
784.50	0.015690
785.00	0.014284
785.50	0.012857
786.00	0.013349
786.50	0.012813
787.00	0.011184
787.50	0.013188
788.00	0.011385
788.50	0.011983
789.00	0.011711
789.50	0.010755
790.00	0.011518
790.50	0.0087755
791.00	0.0089300
791.50	0.010453
792.00	0.0079395
792.50	0.0082921
793.00	0.0085916
793.50	0.0075183
794.00	0.0086550
794.50	0.0068397
795.00	0.0063063
795.50	0.0049860
796.00	0.0054770
796.50	0.0053031
797.00	0.0052609
797.50	0.0034022
798.00	0.0036781
798.50	0.0051457
799.00	0.0060194
799.50	0.0046947
800.00	0.0039103
