Wavelength (nm)	S05 abs N
290.00	0.11959
291.00	0.12223
292.00	0.12515
293.00	0.12849
294.00	0.13267
295.00	0.13693
296.00	0.14160
297.00	0.14640
298.00	0.15219
299.00	0.15746
300.00	0.16373
301.00	0.17034
302.00	0.17703
303.00	0.18412
304.00	0.19162
305.00	0.19927
306.00	0.20715
307.00	0.21555
308.00	0.22395
309.00	0.23312
310.00	0.24281
311.00	0.25254
312.00	0.26292
313.00	0.27330
314.00	0.28404
315.00	0.29543
316.00	0.30660
317.00	0.31754
318.00	0.32895
319.00	0.34031
320.00	0.35113
321.00	0.36213
322.00	0.37164
323.00	0.38083
324.00	0.38837
325.00	0.39469
326.00	0.39917
327.00	0.40198
328.00	0.40316
329.00	0.40231
330.00	0.40028
331.00	0.39659
332.00	0.39094
333.00	0.38435
334.00	0.37708
335.00	0.36947
336.00	0.36115
337.00	0.35205
338.00	0.34372
339.00	0.33574
340.00	0.32759
341.00	0.31952
342.00	0.31279
343.00	0.30581
344.00	0.29929
345.00	0.29309
346.00	0.28709
347.00	0.28225
348.00	0.27733
349.00	0.27280
350.00	0.26882
351.00	0.26518
352.00	0.26172
353.00	0.25811
354.00	0.25491
355.00	0.25184
356.00	0.24896
357.00	0.24616
358.00	0.24320
359.00	0.23993
360.00	0.23633
361.00	0.23244
362.00	0.22874
363.00	0.22476
364.00	0.22042
365.00	0.21603
366.00	0.21132
367.00	0.20666
368.00	0.20183
369.00	0.19787
370.00	0.19323
371.00	0.18943
372.00	0.18499
373.00	0.18085
374.00	0.17714
375.00	0.17432
376.00	0.17185
377.00	0.16906
378.00	0.16668
379.00	0.16515
380.00	0.16372
381.00	0.16231
382.00	0.16143
383.00	0.16079
384.00	0.16035
385.00	0.15995
386.00	0.15988
387.00	0.16032
388.00	0.16085
389.00	0.16116
390.00	0.16148
391.00	0.16279
392.00	0.16335
393.00	0.16421
394.00	0.16517
395.00	0.16556
396.00	0.16632
397.00	0.16737
398.00	0.16800
399.00	0.16844
400.00	0.16876
401.00	0.16895
402.00	0.16970
403.00	0.16984
404.00	0.16996
405.00	0.16960
406.00	0.16959
407.00	0.16988
408.00	0.16938
409.00	0.16871
410.00	0.16836
411.00	0.16837
412.00	0.16734
413.00	0.16676
414.00	0.16628
415.00	0.16555
416.00	0.16453
417.00	0.16371
418.00	0.16278
419.00	0.16160
420.00	0.16105
421.00	0.16005
422.00	0.15913
423.00	0.15835
424.00	0.15702
425.00	0.15644
426.00	0.15546
427.00	0.15432
428.00	0.15313
429.00	0.15229
430.00	0.15087
431.00	0.14985
432.00	0.14854
433.00	0.14731
434.00	0.14624
435.00	0.14527
436.00	0.14412
437.00	0.14246
438.00	0.14139
439.00	0.13991
440.00	0.13892
441.00	0.13753
442.00	0.13607
443.00	0.13465
444.00	0.13337
445.00	0.13182
446.00	0.13065
447.00	0.12930
448.00	0.12779
449.00	0.12580
450.00	0.12384
451.00	0.12243
452.00	0.12096
453.00	0.11892
454.00	0.11700
455.00	0.11506
456.00	0.11291
457.00	0.11031
458.00	0.10811
459.00	0.10619
460.00	0.10412
461.00	0.10178
462.00	0.099329
463.00	0.097093
464.00	0.094228
465.00	0.091768
466.00	0.089714
467.00	0.087461
468.00	0.085141
469.00	0.082505
470.00	0.080607
471.00	0.078158
472.00	0.075928
473.00	0.073888
474.00	0.071246
475.00	0.069035
476.00	0.066937
477.00	0.063962
478.00	0.062045
479.00	0.060017
480.00	0.057514
481.00	0.055313
482.00	0.053583
483.00	0.050798
484.00	0.048633
485.00	0.045894
486.00	0.044309
487.00	0.043099
488.00	0.041400
489.00	0.039358
490.00	0.036967
491.00	0.035419
492.00	0.033712
493.00	0.031940
494.00	0.030888
495.00	0.029356
496.00	0.027905
497.00	0.026425
498.00	0.025204
499.00	0.023980
500.00	0.022690
501.00	0.021230
502.00	0.019912
503.00	0.018596
504.00	0.017449
505.00	0.017712
506.00	0.015796
507.00	0.015322
508.00	0.013719
509.00	0.012711
510.00	0.012227
511.00	0.011252
512.00	0.011282
513.00	0.010222
514.00	0.0097079
515.00	0.0094699
516.00	0.0090190
517.00	0.0080576
518.00	0.0078496
519.00	0.0075619
520.00	0.0066387
521.00	0.0072027
522.00	0.0070505
523.00	0.0062527
524.00	0.0061998
525.00	0.0054483
526.00	0.0060509
527.00	0.0057632
528.00	0.0046024
529.00	0.0051196
530.00	0.0044631
531.00	0.0041826
532.00	0.0041711
533.00	0.0044851
534.00	0.0045113
535.00	0.0040981
536.00	0.0042990
537.00	0.0050729
538.00	0.0042823
539.00	0.0037794
540.00	0.0041420
541.00	0.0045161
542.00	0.0043286
543.00	0.0040690
544.00	0.0041401
545.00	0.0044269
546.00	0.0045185
547.00	0.0045199
548.00	0.0043386
549.00	0.0042947
550.00	0.0043000
551.00	0.0047260
552.00	0.0049460
553.00	0.0045733
554.00	0.0047265
555.00	0.0051382
556.00	0.0049817
557.00	0.0053081
558.00	0.0054970
559.00	0.0054889
560.00	0.0059231
561.00	0.0058405
562.00	0.0059331
563.00	0.0063129
564.00	0.0062580
565.00	0.0069293
566.00	0.0068043
567.00	0.0069694
568.00	0.0074832
569.00	0.0075013
570.00	0.0075323
571.00	0.0080696
572.00	0.0083854
573.00	0.0086163
574.00	0.0087385
575.00	0.0090643
576.00	0.0094823
577.00	0.0096101
578.00	0.0099035
579.00	0.010349
580.00	0.010808
581.00	0.011202
582.00	0.011567
583.00	0.011960
584.00	0.012704
585.00	0.013256
586.00	0.013875
587.00	0.014792
588.00	0.015410
589.00	0.016120
590.00	0.017205
591.00	0.018317
592.00	0.019447
593.00	0.020352
594.00	0.021515
595.00	0.022279
596.00	0.023352
597.00	0.024899
598.00	0.025898
599.00	0.027095
600.00	0.027980
601.00	0.029059
602.00	0.030058
603.00	0.031049
604.00	0.031962
605.00	0.033215
606.00	0.033912
607.00	0.034991
608.00	0.036107
609.00	0.037002
610.00	0.038074
611.00	0.039306
612.00	0.040391
613.00	0.041809
614.00	0.042958
615.00	0.044249
616.00	0.045620
617.00	0.047225
618.00	0.048709
619.00	0.050130
620.00	0.052123
621.00	0.053253
622.00	0.055197
623.00	0.056740
624.00	0.058293
625.00	0.059686
626.00	0.061375
627.00	0.062642
628.00	0.064503
629.00	0.065531
630.00	0.067488
631.00	0.068730
632.00	0.071180
633.00	0.073028
634.00	0.075445
635.00	0.078260
636.00	0.080204
637.00	0.082873
638.00	0.085787
639.00	0.089016
640.00	0.092566
641.00	0.096693
642.00	0.10175
643.00	0.10672
644.00	0.11256
645.00	0.11927
646.00	0.12651
647.00	0.13333
648.00	0.14163
649.00	0.15015
650.00	0.15759
651.00	0.16571
652.00	0.17272
653.00	0.18039
654.00	0.18791
655.00	0.19895
656.00	0.20286
657.00	0.20621
658.00	0.21182
659.00	0.21790
660.00	0.22179
661.00	0.22507
662.00	0.22837
663.00	0.23264
664.00	0.23399
665.00	0.23582
666.00	0.23828
667.00	0.23899
668.00	0.24001
669.00	0.24146
670.00	0.24106
671.00	0.24108
672.00	0.24104
673.00	0.24159
674.00	0.24217
675.00	0.24145
676.00	0.24173
677.00	0.24297
678.00	0.24255
679.00	0.24321
680.00	0.24409
681.00	0.24496
682.00	0.24634
683.00	0.24869
684.00	0.25035
685.00	0.25180
686.00	0.25473
687.00	0.25675
688.00	0.25896
689.00	0.26209
690.00	0.26390
691.00	0.26545
692.00	0.26773
693.00	0.26891
694.00	0.26991
695.00	0.27067
696.00	0.27158
697.00	0.27142
698.00	0.27090
699.00	0.27072
700.00	0.27060
701.00	0.27049
702.00	0.26966
703.00	0.26882
704.00	0.26961
705.00	0.27092
706.00	0.27194
707.00	0.27445
708.00	0.27806
709.00	0.28328
710.00	0.28954
711.00	0.29849
712.00	0.30827
