Wavelength (nm)	S08 abs  N
285.00	0.19060
286.00	0.18934
287.00	0.18831
288.00	0.18755
289.00	0.18728
290.00	0.18703
291.00	0.18686
292.00	0.18702
293.00	0.18755
294.00	0.18781
295.00	0.18856
296.00	0.18906
297.00	0.18981
298.00	0.19078
299.00	0.19155
300.00	0.19298
301.00	0.19476
302.00	0.19663
303.00	0.19895
304.00	0.20151
305.00	0.20425
306.00	0.20707
307.00	0.21011
308.00	0.21316
309.00	0.21588
310.00	0.21828
311.00	0.22040
312.00	0.22242
313.00	0.22415
314.00	0.22554
315.00	0.22669
316.00	0.22788
317.00	0.22918
318.00	0.23109
319.00	0.23300
320.00	0.23512
321.00	0.23761
322.00	0.24022
323.00	0.24304
324.00	0.24613
325.00	0.24863
326.00	0.25056
327.00	0.25218
328.00	0.25306
329.00	0.25345
330.00	0.25344
331.00	0.25246
332.00	0.25049
333.00	0.24846
334.00	0.24614
335.00	0.24314
336.00	0.23987
337.00	0.23680
338.00	0.23370
339.00	0.23049
340.00	0.22728
341.00	0.22430
342.00	0.22121
343.00	0.21862
344.00	0.21571
345.00	0.21356
346.00	0.21170
347.00	0.20984
348.00	0.20862
349.00	0.20789
350.00	0.20724
351.00	0.20693
352.00	0.20698
353.00	0.20702
354.00	0.20671
355.00	0.20576
356.00	0.20436
357.00	0.20201
358.00	0.19881
359.00	0.19525
360.00	0.19060
361.00	0.18570
362.00	0.18041
363.00	0.17452
364.00	0.16885
365.00	0.16232
366.00	0.15665
367.00	0.15057
368.00	0.14520
369.00	0.13968
370.00	0.13416
371.00	0.12861
372.00	0.12360
373.00	0.11884
374.00	0.11469
375.00	0.11046
376.00	0.10636
377.00	0.10337
378.00	0.10034
379.00	0.097594
380.00	0.094937
381.00	0.092779
382.00	0.091164
383.00	0.089245
384.00	0.087773
385.00	0.086897
386.00	0.086026
387.00	0.085062
388.00	0.084245
389.00	0.083893
390.00	0.083982
391.00	0.083857
392.00	0.083782
393.00	0.083792
394.00	0.083886
395.00	0.084025
396.00	0.083920
397.00	0.084859
398.00	0.084667
399.00	0.084935
400.00	0.084990
401.00	0.085083
402.00	0.085905
403.00	0.086018
404.00	0.086374
405.00	0.086582
406.00	0.086799
407.00	0.086996
408.00	0.087823
409.00	0.088075
410.00	0.088533
411.00	0.088860
412.00	0.089120
413.00	0.089653
414.00	0.089735
415.00	0.089625
416.00	0.089865
417.00	0.089733
418.00	0.089465
419.00	0.089029
420.00	0.088372
421.00	0.087724
422.00	0.086743
423.00	0.085989
424.00	0.085213
425.00	0.084392
426.00	0.084046
427.00	0.083452
428.00	0.083309
429.00	0.082945
430.00	0.083042
431.00	0.082825
432.00	0.083272
433.00	0.083867
434.00	0.084200
435.00	0.084725
436.00	0.085471
437.00	0.086047
438.00	0.086355
439.00	0.087513
440.00	0.088209
441.00	0.088768
442.00	0.089453
443.00	0.089838
444.00	0.089800
445.00	0.089853
446.00	0.089740
447.00	0.089537
448.00	0.089379
449.00	0.089298
450.00	0.088764
451.00	0.088253
452.00	0.087834
453.00	0.087513
454.00	0.086801
455.00	0.086814
456.00	0.086996
457.00	0.086688
458.00	0.086772
459.00	0.086783
460.00	0.087190
461.00	0.087106
462.00	0.087192
463.00	0.087853
464.00	0.088277
465.00	0.088707
466.00	0.089242
467.00	0.089932
468.00	0.090558
469.00	0.090824
470.00	0.091304
471.00	0.092236
472.00	0.092957
473.00	0.093114
474.00	0.093325
475.00	0.093409
476.00	0.092909
477.00	0.092228
478.00	0.091791
479.00	0.090713
480.00	0.090040
481.00	0.088770
482.00	0.086598
483.00	0.085297
484.00	0.083824
485.00	0.080834
486.00	0.079354
487.00	0.077326
488.00	0.075046
489.00	0.072594
490.00	0.070817
491.00	0.068564
492.00	0.066892
493.00	0.064933
494.00	0.063863
495.00	0.062178
496.00	0.061117
497.00	0.059846
498.00	0.058207
499.00	0.057765
500.00	0.057271
501.00	0.056251
502.00	0.055585
503.00	0.054548
504.00	0.054819
505.00	0.054399
506.00	0.053991
507.00	0.053505
508.00	0.053110
509.00	0.052678
510.00	0.051833
511.00	0.051919
512.00	0.050265
513.00	0.049626
514.00	0.048250
515.00	0.046729
516.00	0.046161
517.00	0.044325
518.00	0.042587
519.00	0.040464
520.00	0.038810
521.00	0.037243
522.00	0.036211
523.00	0.034108
524.00	0.032314
525.00	0.031241
526.00	0.029807
527.00	0.027653
528.00	0.026287
529.00	0.025046
530.00	0.023719
531.00	0.022212
532.00	0.022046
533.00	0.021041
534.00	0.019779
535.00	0.018837
536.00	0.018123
537.00	0.017252
538.00	0.016964
539.00	0.016601
540.00	0.016050
541.00	0.015974
542.00	0.015634
543.00	0.015095
544.00	0.014880
545.00	0.014553
546.00	0.014622
547.00	0.014134
548.00	0.014694
549.00	0.014775
550.00	0.014485
551.00	0.014337
552.00	0.014423
553.00	0.013843
554.00	0.013780
555.00	0.014103
556.00	0.013687
557.00	0.013552
558.00	0.013249
559.00	0.012784
560.00	0.012024
561.00	0.011880
562.00	0.011539
563.00	0.011241
564.00	0.010679
565.00	0.010229
566.00	0.010259
567.00	0.0097812
568.00	0.0093185
569.00	0.0087914
570.00	0.0085637
571.00	0.0080379
572.00	0.0077110
573.00	0.0075556
574.00	0.0072035
575.00	0.0069984
576.00	0.0066229
577.00	0.0064998
578.00	0.0062023
579.00	0.0061529
580.00	0.0058302
581.00	0.0056382
582.00	0.0054824
583.00	0.0053079
584.00	0.0050145
585.00	0.0050397
586.00	0.0048460
587.00	0.0045241
588.00	0.0046071
589.00	0.0043939
590.00	0.0043160
591.00	0.0041218
592.00	0.0042730
593.00	0.0043121
594.00	0.0040128
595.00	0.0039341
596.00	0.0038928
597.00	0.0037557
598.00	0.0037770
599.00	0.0037063
600.00	0.0036995
601.00	0.0037476
602.00	0.0036463
603.00	0.0036386
604.00	0.0036633
605.00	0.0036710
606.00	0.0036842
607.00	0.0034667
608.00	0.0036067
609.00	0.0037025
610.00	0.0036578
611.00	0.0037621
612.00	0.0037259
613.00	0.0036829
614.00	0.0036604
615.00	0.0037289
616.00	0.0036757
617.00	0.0035612
618.00	0.0035007
619.00	0.0036442
620.00	0.0035982
621.00	0.0036531
622.00	0.0037178
623.00	0.0037366
624.00	0.0036753
625.00	0.0036450
626.00	0.0037762
627.00	0.0036335
628.00	0.0035778
629.00	0.0039120
630.00	0.0038336
631.00	0.0040146
632.00	0.0043036
633.00	0.0043292
634.00	0.0047945
635.00	0.0052985
636.00	0.0054032
637.00	0.0056957
638.00	0.0053870
639.00	0.0050827
640.00	0.0049379
641.00	0.0050805
642.00	0.0051325
643.00	0.0059196
644.00	0.0059162
645.00	0.0061491
646.00	0.0060997
647.00	0.0060064
648.00	0.0063330
649.00	0.0067229
650.00	0.0070405
651.00	0.0072593
652.00	0.0072346
653.00	0.0070682
654.00	0.0075164
655.00	0.0073223
656.00	0.0076318
657.00	0.0076629
658.00	0.0081201
659.00	0.0086178
660.00	0.0087391
661.00	0.0093879
662.00	0.0097412
663.00	0.0099464
664.00	0.0099690
665.00	0.010456
666.00	0.010858
667.00	0.011107
668.00	0.011712
669.00	0.012289
670.00	0.012726
671.00	0.013516
672.00	0.013949
673.00	0.014632
674.00	0.015606
675.00	0.016391
676.00	0.016665
677.00	0.017372
678.00	0.018150
679.00	0.019198
680.00	0.019769
681.00	0.020345
682.00	0.021337
683.00	0.022009
684.00	0.022422
685.00	0.023215
686.00	0.024072
687.00	0.024578
688.00	0.025087
689.00	0.025962
690.00	0.026493
691.00	0.026969
692.00	0.028008
693.00	0.028412
694.00	0.028849
695.00	0.029552
696.00	0.029641
697.00	0.030252
698.00	0.030327
699.00	0.031015
700.00	0.031544
701.00	0.031547
702.00	0.032223
703.00	0.032690
704.00	0.032940
705.00	0.033452
706.00	0.034052
707.00	0.034864
708.00	0.035497
709.00	0.036254
710.00	0.036658
711.00	0.037728
712.00	0.038581
713.00	0.039526
714.00	0.040240
715.00	0.041462
716.00	0.042270
717.00	0.042801
718.00	0.043345
719.00	0.044120
720.00	0.045125
721.00	0.045892
722.00	0.046500
723.00	0.047049
724.00	0.047812
725.00	0.048223
726.00	0.048586
727.00	0.048996
728.00	0.049653
729.00	0.050383
730.00	0.051179
731.00	0.052156
732.00	0.053088
733.00	0.054545
734.00	0.056086
735.00	0.057851
736.00	0.059797
737.00	0.062368
738.00	0.065627
739.00	0.068753
740.00	0.072084
741.00	0.076162
742.00	0.080484
743.00	0.085233
744.00	0.091086
745.00	0.096627
746.00	0.10298
747.00	0.10979
748.00	0.11598
749.00	0.12341
750.00	0.13047
751.00	0.13673
752.00	0.14363
753.00	0.14981
754.00	0.15601
755.00	0.16136
756.00	0.16650
757.00	0.17072
758.00	0.17417
759.00	0.17665
760.00	0.17865
761.00	0.18041
762.00	0.18062
763.00	0.18050
764.00	0.17954
765.00	0.17809
766.00	0.17601
767.00	0.17369
768.00	0.17058
769.00	0.16778
770.00	0.16425
771.00	0.16047
772.00	0.15661
773.00	0.15298
774.00	0.14895
775.00	0.14509
776.00	0.14162
777.00	0.13767
778.00	0.13419
779.00	0.13088
780.00	0.12782
781.00	0.12474
782.00	0.12123
783.00	0.11982
784.00	0.11722
785.00	0.11497
786.00	0.11303
787.00	0.11155
788.00	0.11045
789.00	0.10927
790.00	0.10901
791.00	0.10825
792.00	0.10840
793.00	0.10904
794.00	0.10997
795.00	0.11099
796.00	0.11201
797.00	0.11414
798.00	0.11644
