Wavelength (nm)	S09 abs N
300.06	0.17557
300.25	0.17538
300.44	0.17533
300.63	0.17438
300.81	0.17449
301.00	0.17507
301.19	0.17482
301.38	0.17453
301.56	0.17497
301.75	0.17486
301.94	0.17547
302.13	0.17560
302.31	0.17577
302.50	0.17594
302.69	0.17566
302.88	0.17614
303.06	0.17671
303.25	0.17599
303.44	0.17659
303.63	0.17764
303.81	0.17830
304.00	0.17806
304.19	0.17888
304.38	0.17893
304.56	0.17840
304.75	0.17822
304.94	0.17890
305.13	0.17901
305.31	0.18055
305.50	0.18171
305.69	0.18205
305.88	0.18263
306.06	0.18325
306.25	0.18413
306.44	0.18462
306.63	0.18478
306.81	0.18481
307.00	0.18555
307.19	0.18625
307.38	0.18659
307.56	0.18788
307.75	0.18923
307.94	0.19000
308.13	0.19130
308.31	0.19258
308.50	0.19232
308.69	0.19395
308.88	0.19391
309.06	0.19492
309.25	0.19569
309.44	0.19595
309.63	0.19726
309.81	0.20112
310.00	0.20209
310.19	0.19580
310.38	0.20131
310.56	0.19616
310.75	0.20199
310.94	0.20415
311.13	0.19900
311.31	0.20981
311.50	0.20234
311.69	0.20291
311.88	0.20174
312.06	0.20487
312.25	0.21563
312.44	0.20135
312.63	0.21272
312.81	0.20575
313.00	0.21305
313.19	0.21093
313.38	0.21104
313.56	0.21826
313.75	0.21377
313.94	0.21968
314.13	0.21871
314.31	0.21999
314.50	0.21590
314.69	0.22763
314.88	0.21736
315.06	0.21979
315.25	0.21824
315.44	0.21418
315.63	0.22440
315.81	0.22394
316.00	0.22266
316.19	0.22520
316.38	0.22231
316.56	0.22256
316.75	0.22634
316.94	0.22356
317.13	0.23116
317.31	0.23302
317.50	0.23504
317.69	0.23467
317.88	0.22945
318.06	0.23261
318.25	0.23219
318.44	0.23497
318.63	0.24401
318.81	0.23798
319.00	0.23748
319.19	0.23994
319.38	0.24117
319.56	0.24040
319.75	0.24443
319.94	0.24665
320.13	0.24203
320.31	0.24674
320.50	0.24884
320.69	0.25245
320.88	0.24549
321.06	0.25057
321.25	0.24846
321.44	0.25376
321.63	0.25180
321.81	0.24866
322.00	0.25790
322.19	0.25222
322.38	0.25765
322.56	0.25632
322.75	0.26194
322.94	0.25792
323.13	0.26182
323.31	0.25646
323.50	0.25886
323.69	0.26003
323.88	0.26323
324.06	0.26111
324.25	0.26424
324.44	0.27091
324.63	0.26218
324.81	0.26917
325.00	0.26950
325.19	0.26850
325.38	0.27001
325.56	0.27141
325.75	0.26935
325.94	0.26467
326.13	0.27171
326.31	0.27111
326.50	0.27471
326.69	0.27057
326.88	0.27008
327.06	0.27029
327.25	0.27402
327.44	0.27046
327.63	0.27055
327.81	0.27274
328.00	0.26891
328.19	0.27016
328.38	0.26829
328.56	0.26470
328.75	0.26316
328.94	0.26605
329.13	0.25956
329.31	0.25983
329.50	0.26691
329.69	0.26212
329.88	0.26372
330.06	0.25897
330.25	0.26056
330.44	0.25644
330.63	0.25367
330.81	0.25602
331.00	0.25474
331.19	0.25553
331.38	0.26037
331.56	0.24887
331.75	0.26141
331.94	0.25401
332.13	0.25163
332.31	0.24936
332.50	0.25174
332.69	0.24533
332.88	0.24841
333.06	0.24132
333.25	0.24871
333.44	0.24760
333.63	0.23967
333.81	0.24425
334.00	0.24813
334.19	0.24294
334.38	0.24267
334.56	0.23368
334.75	0.24224
334.94	0.23634
335.13	0.23916
335.31	0.24163
335.50	0.23154
335.69	0.23509
335.88	0.23795
336.06	0.23241
336.25	0.23556
336.44	0.23039
336.63	0.23389
336.81	0.22270
337.00	0.23133
337.19	0.22752
337.38	0.23241
