Wavelength (nm)	S-9, 58687-99-3, H2Nc(tBu).ems
710.00	0.0012430
711.00	0.0011915
712.00	0.0013295
713.00	0.0013515
714.00	0.0013858
715.00	0.0014332
716.00	0.0015555
717.00	0.0015692
718.00	0.0016674
719.00	0.0017485
720.00	0.0019113
721.00	0.0020644
722.00	0.0021722
723.00	0.0023337
724.00	0.0025267
725.00	0.0028316
726.00	0.0030569
727.00	0.0032739
728.00	0.0036977
729.00	0.0039285
730.00	0.0043763
731.00	0.0048825
732.00	0.0054656
733.00	0.0059086
734.00	0.0066641
735.00	0.0072617
736.00	0.0080200
737.00	0.0088462
738.00	0.0094582
739.00	0.010395
740.00	0.011418
741.00	0.012172
742.00	0.013263
743.00	0.014239
744.00	0.015441
745.00	0.016535
746.00	0.017674
747.00	0.019124
748.00	0.020845
749.00	0.022631
750.00	0.024474
751.00	0.026523
752.00	0.028719
753.00	0.031658
754.00	0.035160
755.00	0.039362
756.00	0.044329
757.00	0.050929
758.00	0.058812
759.00	0.066963
760.00	0.077037
761.00	0.088616
762.00	0.10166
763.00	0.11620
764.00	0.13304
765.00	0.15059
766.00	0.16922
767.00	0.18951
768.00	0.21337
769.00	0.23674
770.00	0.26223
771.00	0.28931
772.00	0.31789
773.00	0.34612
774.00	0.37624
775.00	0.40824
776.00	0.43924
777.00	0.47405
778.00	0.51089
779.00	0.54562
780.00	0.58518
781.00	0.62571
782.00	0.66914
783.00	0.70813
784.00	0.74620
785.00	0.78644
786.00	0.82612
787.00	0.86034
788.00	0.89619
789.00	0.92560
790.00	0.95206
791.00	0.97352
792.00	0.99023
793.00	1.00000
794.00	0.99750
795.00	0.99056
796.00	0.97022
797.00	0.94574
798.00	0.91362
799.00	0.87530
800.00	0.83012
801.00	0.78139
802.00	0.72831
803.00	0.67538
804.00	0.61994
805.00	0.56563
806.00	0.51185
807.00	0.46606
808.00	0.42133
809.00	0.38093
810.00	0.34225
811.00	0.30993
812.00	0.27928
813.00	0.25344
814.00	0.22962
815.00	0.20988
816.00	0.19123
817.00	0.17524
818.00	0.16171
819.00	0.14881
820.00	0.13957
821.00	0.13098
822.00	0.12288
823.00	0.11660
824.00	0.11102
825.00	0.10488
826.00	0.099912
827.00	0.095408
828.00	0.090299
829.00	0.086117
830.00	0.081742
831.00	0.077121
832.00	0.072825
833.00	0.068208
834.00	0.063807
835.00	0.059311
836.00	0.054647
837.00	0.051210
838.00	0.046340
839.00	0.042300
840.00	0.038509
841.00	0.034734
842.00	0.031207
843.00	0.027974
844.00	0.024725
845.00	0.022198
846.00	0.019687
847.00	0.017572
848.00	0.015410
849.00	0.013633
850.00	0.012032
851.00	0.010478
852.00	0.0092315
853.00	0.0081683
854.00	0.0071800
855.00	0.0063228
856.00	0.0056511
857.00	0.0049972
858.00	0.0045975
859.00	0.0040610
860.00	0.0036517
861.00	0.0034209
862.00	0.0030219
863.00	0.0027121
864.00	0.0024793
865.00	0.0022856
866.00	0.0020191
867.00	0.0019367
868.00	0.0017107
869.00	0.0016386
870.00	0.0014470
871.00	0.0013872
872.00	0.0012162
873.00	0.0010637
874.00	0.0010898
875.00	0.00094694
876.00	0.00085559
877.00	0.00082399
878.00	0.00074776
879.00	0.00069762
880.00	0.00068663
881.00	0.00062275
882.00	0.00054926
883.00	0.00055750
884.00	0.00049431
885.00	0.00047783
886.00	0.00045997
887.00	0.00048264
888.00	0.00044349
889.00	0.00045036
890.00	0.00042288
891.00	0.00039884
892.00	0.00035214
893.00	0.00036862
894.00	0.00032192
895.00	0.00037137
896.00	0.00036313
897.00	0.00032192
898.00	0.00034252
899.00	0.00032123
900.00	0.00033772
