Wavelength (nm)	S10 abs N
300.00	0.34530
300.19	0.34847
300.38	0.35044
300.56	0.35417
300.75	0.35632
300.94	0.35873
301.13	0.36056
301.31	0.36308
301.50	0.36621
301.69	0.36727
301.88	0.37029
302.06	0.37268
302.25	0.37706
302.44	0.37999
302.63	0.38184
302.81	0.38409
303.00	0.38716
303.19	0.38966
303.38	0.39216
303.56	0.39596
303.75	0.39804
303.94	0.40075
304.13	0.40355
304.31	0.40662
304.50	0.40958
304.69	0.41154
304.88	0.41449
305.06	0.41720
305.25	0.41972
305.44	0.42438
305.63	0.42468
305.81	0.42877
306.00	0.43172
306.19	0.43586
306.38	0.43931
306.56	0.44237
306.75	0.44564
306.94	0.44749
307.13	0.45131
307.31	0.45367
307.50	0.45720
307.69	0.46034
307.88	0.46244
308.06	0.46626
308.25	0.46993
308.44	0.47189
308.63	0.47566
308.81	0.47943
309.00	0.48144
309.19	0.48573
309.38	0.48965
309.56	0.49362
309.75	0.49669
309.94	0.48905
310.13	0.48835
310.31	0.49222
310.50	0.48948
310.69	0.49929
310.88	0.50470
311.06	0.50524
311.25	0.51116
311.44	0.51363
311.63	0.53051
311.81	0.51939
312.00	0.53057
312.19	0.53052
312.38	0.53636
312.56	0.53135
312.75	0.54231
312.94	0.55711
313.13	0.55342
313.31	0.57081
313.50	0.56092
313.69	0.55832
313.88	0.57381
314.06	0.58024
314.25	0.58113
314.44	0.58775
314.63	0.59950
314.81	0.60325
315.00	0.59959
315.19	0.60470
315.38	0.61522
315.56	0.61608
315.75	0.61454
315.94	0.62425
316.13	0.63256
316.31	0.62940
316.50	0.63862
316.69	0.64494
316.88	0.64458
317.06	0.64190
317.25	0.65854
317.44	0.66258
317.63	0.65046
317.81	0.65688
318.00	0.65900
318.19	0.67299
318.38	0.68439
318.56	0.67799
318.75	0.67144
318.94	0.68372
319.13	0.67631
319.31	0.68142
319.50	0.68818
319.69	0.68917
319.88	0.70894
320.06	0.70691
320.25	0.71767
320.44	0.71459
320.63	0.72988
320.81	0.71793
321.00	0.72250
321.19	0.72316
321.38	0.74557
321.56	0.74683
321.75	0.73316
321.94	0.75956
322.13	0.73777
322.31	0.74049
322.50	0.74715
322.69	0.75986
322.88	0.75802
323.06	0.75260
323.25	0.76716
323.44	0.76823
323.63	0.76924
323.81	0.78012
324.00	0.76088
324.19	0.77610
324.38	0.78663
324.56	0.78844
324.75	0.79210
324.94	0.78991
325.13	0.79621
325.31	0.79836
325.50	0.80577
325.69	0.79675
325.88	0.80403
326.06	0.80427
326.25	0.80421
326.44	0.81331
326.63	0.82666
326.81	0.81834
327.00	0.82042
327.19	0.83308
327.38	0.83405
327.56	0.85791
327.75	0.84225
327.94	0.84437
328.13	0.84923
328.31	0.85487
328.50	0.85305
328.69	0.86414
328.88	0.85743
329.06	0.85795
329.25	0.86251
329.44	0.87324
329.63	0.86646
329.81	0.87163
330.00	0.89907
330.19	0.89132
330.38	0.89109
330.56	0.89576
330.75	0.89807
330.94	0.92254
331.13	0.89853
331.31	0.91042
331.50	0.90933
331.69	0.91750
331.88	0.92192
332.06	0.91630
332.25	0.93151
332.44	0.94115
332.63	0.92746
332.81	0.94668
333.00	0.94266
333.19	0.96024
333.38	0.96636
