Wavelength (nm)	S-10, 64987-70-8, H2N4P(tBu).ems
600.00	0.0096444
601.00	0.011108
602.00	0.012957
603.00	0.015579
604.00	0.018745
605.00	0.023011
606.00	0.028378
607.00	0.035638
608.00	0.045238
609.00	0.058273
610.00	0.075603
611.00	0.098967
612.00	0.12973
613.00	0.17016
614.00	0.21889
615.00	0.28042
616.00	0.34867
617.00	0.42886
618.00	0.51481
619.00	0.60218
620.00	0.68788
621.00	0.76875
622.00	0.84173
623.00	0.90461
624.00	0.95121
625.00	0.98434
626.00	1.0000
627.00	0.99972
628.00	0.98765
629.00	0.96484
630.00	0.93854
631.00	0.90511
632.00	0.87223
633.00	0.83408
634.00	0.79860
635.00	0.76092
636.00	0.72329
637.00	0.68561
638.00	0.65191
639.00	0.61744
640.00	0.58783
641.00	0.55868
642.00	0.53246
643.00	0.50762
644.00	0.48571
645.00	0.46511
646.00	0.44642
647.00	0.43012
648.00	0.41546
649.00	0.40045
650.00	0.38771
651.00	0.37565
652.00	0.36452
653.00	0.35307
654.00	0.34308
655.00	0.33179
656.00	0.32289
657.00	0.31164
658.00	0.30129
659.00	0.29070
660.00	0.28076
661.00	0.27021
662.00	0.26180
663.00	0.25228
664.00	0.24361
665.00	0.23551
666.00	0.22845
667.00	0.22022
668.00	0.21390
669.00	0.20722
670.00	0.20129
671.00	0.19626
672.00	0.19077
673.00	0.18649
674.00	0.18224
675.00	0.17897
676.00	0.17680
677.00	0.17438
678.00	0.17307
679.00	0.17322
680.00	0.17237
681.00	0.17250
682.00	0.17359
683.00	0.17537
684.00	0.17653
685.00	0.17704
686.00	0.17859
687.00	0.17857
688.00	0.17866
689.00	0.17719
690.00	0.17535
691.00	0.17231
692.00	0.16834
693.00	0.16446
694.00	0.15908
695.00	0.15404
696.00	0.14760
697.00	0.14158
698.00	0.13546
699.00	0.12884
700.00	0.12279
701.00	0.11709
702.00	0.11206
703.00	0.10696
704.00	0.10274
705.00	0.098109
706.00	0.093822
707.00	0.089536
708.00	0.085831
709.00	0.081529
710.00	0.078547
711.00	0.074995
712.00	0.072155
713.00	0.069479
714.00	0.066957
715.00	0.064391
716.00	0.061934
717.00	0.059688
718.00	0.057476
719.00	0.055513
720.00	0.053371
721.00	0.051469
722.00	0.049936
723.00	0.047980
724.00	0.046414
725.00	0.044711
726.00	0.043024
727.00	0.041982
728.00	0.040553
729.00	0.039382
730.00	0.038137
731.00	0.036603
732.00	0.035290
733.00	0.033886
734.00	0.032850
735.00	0.031468
736.00	0.030632
737.00	0.029527
738.00	0.028535
739.00	0.027497
740.00	0.026743
741.00	0.025822
742.00	0.024691
743.00	0.023769
744.00	0.023130
745.00	0.022274
746.00	0.021611
747.00	0.020629
748.00	0.019922
749.00	0.019170
750.00	0.018739
