Wavelength (nm)	S11 abs N
260.00	0.30346
261.00	0.30629
262.00	0.31650
263.00	0.32822
264.00	0.34199
265.00	0.35495
266.00	0.36651
267.00	0.37571
268.00	0.38267
269.00	0.38690
270.00	0.38901
271.00	0.38932
272.00	0.38861
273.00	0.38752
274.00	0.38641
275.00	0.38559
276.00	0.38527
277.00	0.38514
278.00	0.38574
279.00	0.38725
280.00	0.38864
281.00	0.39159
282.00	0.39439
283.00	0.39759
284.00	0.40135
285.00	0.40574
286.00	0.41038
287.00	0.41493
288.00	0.42062
289.00	0.42677
290.00	0.43259
291.00	0.43923
292.00	0.44623
293.00	0.45349
294.00	0.46083
295.00	0.46851
296.00	0.47616
297.00	0.48336
298.00	0.49036
299.00	0.49685
300.00	0.50292
301.00	0.50839
302.00	0.51338
303.00	0.51769
304.00	0.52054
305.00	0.52332
306.00	0.52386
307.00	0.52323
308.00	0.52162
309.00	0.51828
310.00	0.51313
311.00	0.50692
312.00	0.49919
313.00	0.49023
314.00	0.47995
315.00	0.46830
316.00	0.45522
317.00	0.44137
318.00	0.42616
319.00	0.41007
320.00	0.39360
321.00	0.37628
322.00	0.35896
323.00	0.34145
324.00	0.32402
325.00	0.30713
326.00	0.29081
327.00	0.27503
328.00	0.26019
329.00	0.24585
330.00	0.23237
331.00	0.21964
332.00	0.20794
333.00	0.19670
334.00	0.18603
335.00	0.17626
336.00	0.16713
337.00	0.15855
338.00	0.15043
339.00	0.14278
340.00	0.13586
341.00	0.12924
342.00	0.12311
343.00	0.11724
344.00	0.11201
345.00	0.10704
346.00	0.10243
347.00	0.098029
348.00	0.093982
349.00	0.090153
350.00	0.086532
351.00	0.082958
352.00	0.079779
353.00	0.076650
354.00	0.073755
355.00	0.071158
356.00	0.068434
357.00	0.066152
358.00	0.063811
359.00	0.061502
360.00	0.059380
361.00	0.057155
362.00	0.054473
363.00	0.051314
364.00	0.048613
365.00	0.045699
366.00	0.043458
367.00	0.042501
368.00	0.041481
369.00	0.040243
370.00	0.038894
371.00	0.036623
372.00	0.034352
373.00	0.032412
374.00	0.030553
375.00	0.029541
376.00	0.028342
377.00	0.026965
378.00	0.025709
379.00	0.024481
380.00	0.023235
381.00	0.022104
382.00	0.020892
383.00	0.020091
384.00	0.019022
385.00	0.018234
386.00	0.017181
387.00	0.016368
388.00	0.015717
389.00	0.014853
390.00	0.014361
391.00	0.013801
392.00	0.013292
393.00	0.012673
394.00	0.012164
395.00	0.011927
396.00	0.011796
397.00	0.011206
398.00	0.010918
399.00	0.010647
400.00	0.010266
401.00	0.010128
402.00	0.0098856
403.00	0.0096877
404.00	0.0099131
405.00	0.0092749
406.00	0.0091860
407.00	0.0088473
408.00	0.0086081
409.00	0.0086472
410.00	0.0083223
411.00	0.0082334
412.00	0.0082144
413.00	0.0079254
414.00	0.0079138
415.00	0.0079180
416.00	0.0077317
417.00	0.0077232
418.00	0.0077952
419.00	0.0078227
420.00	0.0078503
421.00	0.0076269
422.00	0.0078196
423.00	0.0078587
424.00	0.0077127
425.00	0.0077783
426.00	0.0079794
427.00	0.0080926
428.00	0.0082440
429.00	0.0081635
430.00	0.0081413
431.00	0.0084620
432.00	0.0087743
433.00	0.0089224
434.00	0.0088579
435.00	0.0095522
436.00	0.0095109
437.00	0.0099046
438.00	0.010499
439.00	0.010759
440.00	0.010988
441.00	0.011657
442.00	0.012009
443.00	0.012464
444.00	0.013116
445.00	0.013581
446.00	0.014391
447.00	0.014916
448.00	0.015941
449.00	0.016640
450.00	0.017488
451.00	0.018433
452.00	0.019579
453.00	0.020690
454.00	0.022075
455.00	0.023189
456.00	0.024295
457.00	0.025855
458.00	0.027055
459.00	0.028421
460.00	0.030059
461.00	0.031544
462.00	0.033453
463.00	0.035056
464.00	0.037007
465.00	0.039294
466.00	0.041487
467.00	0.044105
468.00	0.046884
469.00	0.049541
470.00	0.052315
471.00	0.055456
472.00	0.058576
473.00	0.061611
474.00	0.065143
475.00	0.068371
476.00	0.072255
477.00	0.076054
478.00	0.080351
479.00	0.084752
480.00	0.089345
481.00	0.094404
482.00	0.099343
483.00	0.10499
484.00	0.11043
485.00	0.11640
486.00	0.12202
487.00	0.12528
488.00	0.12996
489.00	0.13486
490.00	0.13945
491.00	0.14386
492.00	0.14847
493.00	0.15347
494.00	0.15802
495.00	0.16231
496.00	0.16767
497.00	0.17226
498.00	0.17779
499.00	0.18388
500.00	0.19046
501.00	0.19767
502.00	0.20551
503.00	0.21391
504.00	0.22262
505.00	0.23150
506.00	0.24084
507.00	0.24974
508.00	0.25857
509.00	0.26623
510.00	0.27366
511.00	0.27990
512.00	0.28510
513.00	0.28905
514.00	0.29261
515.00	0.29534
516.00	0.29742
517.00	0.29928
518.00	0.30201
519.00	0.30459
520.00	0.30749
521.00	0.31000
522.00	0.31287
523.00	0.31597
524.00	0.31948
525.00	0.32201
526.00	0.32512
527.00	0.32835
528.00	0.33166
529.00	0.33491
530.00	0.33736
531.00	0.33986
532.00	0.34226
533.00	0.34432
534.00	0.34742
535.00	0.35046
536.00	0.35549
537.00	0.36267
538.00	0.37215
539.00	0.38370
540.00	0.39813
541.00	0.41415
542.00	0.43298
543.00	0.45309
544.00	0.47363
545.00	0.49517
546.00	0.51689
547.00	0.53755
548.00	0.55773
549.00	0.57487
550.00	0.59164
551.00	0.60609
552.00	0.61860
553.00	0.62954
554.00	0.64072
555.00	0.65300
556.00	0.66649
557.00	0.68393
558.00	0.70628
559.00	0.73409
560.00	0.76602
561.00	0.80071
562.00	0.83669
563.00	0.87292
564.00	0.90690
565.00	0.93602
566.00	0.96086
567.00	0.98027
568.00	0.99264
569.00	1.0000
570.00	0.99682
571.00	0.98506
572.00	0.96057
573.00	0.92431
574.00	0.87511
575.00	0.81911
576.00	0.75358
577.00	0.67679
578.00	0.60796
579.00	0.53884
580.00	0.46711
581.00	0.39720
582.00	0.34655
583.00	0.30056
584.00	0.25012
585.00	0.20903
586.00	0.18037
587.00	0.15174
588.00	0.12871
589.00	0.11066
590.00	0.094241
591.00	0.080836
592.00	0.069391
593.00	0.059632
594.00	0.052766
595.00	0.046194
596.00	0.040750
597.00	0.036155
598.00	0.032113
599.00	0.028469
600.00	0.025736
601.00	0.023219
602.00	0.020976
603.00	0.019018
604.00	0.017236
605.00	0.016014
606.00	0.014485
607.00	0.013356
608.00	0.012574
609.00	0.011835
610.00	0.010955
611.00	0.010548
612.00	0.0099681
613.00	0.0097141
614.00	0.0093744
615.00	0.0090875
616.00	0.0087488
617.00	0.0087076
618.00	0.0082831
619.00	0.0081868
620.00	0.0081043
621.00	0.0077783
622.00	0.0080810
623.00	0.0079688
