Wavelength (nm)	T-1, 479-61-8, Chlorophyll a, ether.ems
620.00	0.0033878
621.00	0.0033774
622.00	0.0036559
623.00	0.0038926
624.00	0.0041927
625.00	0.0045187
626.00	0.0049150
627.00	0.0052330
628.00	0.0056806
629.00	0.0062130
630.00	0.0068263
631.00	0.0075611
632.00	0.0084665
633.00	0.0095012
634.00	0.011021
635.00	0.012731
636.00	0.014932
637.00	0.017590
638.00	0.021171
639.00	0.025132
640.00	0.030941
641.00	0.037736
642.00	0.046944
643.00	0.057502
644.00	0.071557
645.00	0.087526
646.00	0.10895
647.00	0.13274
648.00	0.16483
649.00	0.20063
650.00	0.24692
651.00	0.29284
652.00	0.34823
653.00	0.40323
654.00	0.46297
655.00	0.51735
656.00	0.57862
657.00	0.63869
658.00	0.69993
659.00	0.75457
660.00	0.81138
661.00	0.86185
662.00	0.90834
663.00	0.94392
664.00	0.97350
665.00	0.99194
666.00	1.0000
667.00	0.99879
668.00	0.98330
669.00	0.95933
670.00	0.91928
671.00	0.87472
672.00	0.81559
673.00	0.75681
674.00	0.68848
675.00	0.62773
676.00	0.56564
677.00	0.51218
678.00	0.46001
679.00	0.42147
680.00	0.38053
681.00	0.34950
682.00	0.31964
683.00	0.29540
684.00	0.27335
685.00	0.25469
686.00	0.23893
687.00	0.22748
688.00	0.21653
689.00	0.20762
690.00	0.20047
691.00	0.19635
692.00	0.19229
693.00	0.18993
694.00	0.18798
695.00	0.18681
696.00	0.18585
697.00	0.18602
698.00	0.18598
699.00	0.18626
700.00	0.18654
701.00	0.18732
702.00	0.18849
703.00	0.18960
704.00	0.19125
705.00	0.19321
706.00	0.19518
707.00	0.19779
708.00	0.20088
709.00	0.20450
710.00	0.20840
711.00	0.21227
712.00	0.21666
713.00	0.22091
714.00	0.22605
715.00	0.23011
716.00	0.23391
717.00	0.23720
718.00	0.23969
719.00	0.24219
720.00	0.24327
721.00	0.24411
722.00	0.24319
723.00	0.24166
724.00	0.23905
725.00	0.23555
726.00	0.23193
727.00	0.22844
728.00	0.22337
729.00	0.21823
730.00	0.21214
731.00	0.20677
732.00	0.20077
733.00	0.19416
734.00	0.18801
735.00	0.18193
736.00	0.17542
737.00	0.16870
738.00	0.16092
739.00	0.15517
740.00	0.14755
741.00	0.14097
742.00	0.13301
743.00	0.12630
744.00	0.11797
745.00	0.11093
746.00	0.10256
747.00	0.095751
748.00	0.088376
749.00	0.082867
750.00	0.076311
751.00	0.071121
752.00	0.065685
753.00	0.061227
754.00	0.056596
755.00	0.053125
756.00	0.049623
757.00	0.046164
758.00	0.043863
759.00	0.041620
760.00	0.039285
761.00	0.037310
762.00	0.035353
763.00	0.034354
764.00	0.033163
765.00	0.031988
766.00	0.030979
767.00	0.030096
768.00	0.029024
769.00	0.028319
770.00	0.027566
771.00	0.027264
772.00	0.026512
773.00	0.026179
774.00	0.025765
775.00	0.025387
776.00	0.024929
777.00	0.024714
778.00	0.024508
779.00	0.024142
780.00	0.024033
781.00	0.023704
782.00	0.023542
783.00	0.023403
784.00	0.023153
785.00	0.022731
786.00	0.022582
787.00	0.022616
788.00	0.022257
789.00	0.021771
790.00	0.021909
791.00	0.021637
792.00	0.021389
793.00	0.021227
794.00	0.020826
795.00	0.020679
796.00	0.020534
797.00	0.020083
798.00	0.019866
799.00	0.019606
800.00	0.019500
