Wavelength (nm)	BT-2, 519-62-0, Chlorophyll b.ems
600.00	0.0016017
601.00	0.0017266
602.00	0.0018909
603.00	0.0021047
604.00	0.0023256
605.00	0.0025730
606.00	0.0028347
607.00	0.0031428
608.00	0.0035314
609.00	0.0039421
610.00	0.0043589
611.00	0.0049352
612.00	0.0054958
613.00	0.0061313
614.00	0.0068180
615.00	0.0076418
616.00	0.0086204
617.00	0.010053
618.00	0.011548
619.00	0.013494
620.00	0.016094
621.00	0.019265
622.00	0.023785
623.00	0.028989
624.00	0.036410
625.00	0.045736
626.00	0.059475
627.00	0.075169
628.00	0.096687
629.00	0.12279
630.00	0.15721
631.00	0.19526
632.00	0.24538
633.00	0.30123
634.00	0.37121
635.00	0.44267
636.00	0.52822
637.00	0.61128
638.00	0.69820
639.00	0.77300
640.00	0.84900
641.00	0.90857
642.00	0.95797
643.00	0.98686
644.00	1.0000
645.00	0.99699
646.00	0.97428
647.00	0.94202
648.00	0.88960
649.00	0.83096
650.00	0.75611
651.00	0.69025
652.00	0.61641
653.00	0.55408
654.00	0.49315
655.00	0.44410
656.00	0.39722
657.00	0.35787
658.00	0.32082
659.00	0.29288
660.00	0.26625
661.00	0.24452
662.00	0.22491
663.00	0.21104
664.00	0.19692
665.00	0.18583
666.00	0.17592
667.00	0.16861
668.00	0.16188
669.00	0.15721
670.00	0.15251
671.00	0.14913
672.00	0.14616
673.00	0.14412
674.00	0.14256
675.00	0.14099
676.00	0.14049
677.00	0.13915
678.00	0.13800
679.00	0.13751
680.00	0.13568
681.00	0.13530
682.00	0.13436
683.00	0.13437
684.00	0.13368
685.00	0.13447
686.00	0.13486
687.00	0.13637
688.00	0.13851
689.00	0.14166
690.00	0.14522
691.00	0.14967
692.00	0.15374
693.00	0.15920
694.00	0.16428
695.00	0.16947
696.00	0.17484
697.00	0.17977
698.00	0.18368
699.00	0.18726
700.00	0.18926
701.00	0.19163
702.00	0.19239
703.00	0.19300
704.00	0.19070
705.00	0.18944
706.00	0.18582
707.00	0.18304
708.00	0.17754
709.00	0.17407
710.00	0.16775
711.00	0.16246
712.00	0.15636
713.00	0.15062
714.00	0.14398
715.00	0.13793
716.00	0.13079
717.00	0.12430
718.00	0.11726
719.00	0.11090
720.00	0.10355
721.00	0.096215
722.00	0.089601
723.00	0.083493
724.00	0.077331
725.00	0.071836
726.00	0.066592
727.00	0.062323
728.00	0.058231
729.00	0.054372
730.00	0.050759
731.00	0.048061
732.00	0.044774
733.00	0.042230
734.00	0.040410
735.00	0.038611
736.00	0.036508
737.00	0.035433
738.00	0.033533
739.00	0.032621
740.00	0.031664
741.00	0.030881
742.00	0.029959
743.00	0.029047
744.00	0.028382
745.00	0.027783
746.00	0.027122
747.00	0.026597
748.00	0.025789
749.00	0.025712
750.00	0.025160
