Wavelength (nm)	T-3, 15664-29-6, Pheophorbide a.ems
600.00	0.0020117
601.00	0.0020228
602.00	0.0020147
603.00	0.0019804
604.00	0.0020884
605.00	0.0021449
606.00	0.0021052
607.00	0.0021486
608.00	0.0021422
609.00	0.0021659
610.00	0.0021313
611.00	0.0023195
612.00	0.0025095
613.00	0.0024219
614.00	0.0028575
615.00	0.0028014
616.00	0.0027944
617.00	0.0025262
618.00	0.0025464
619.00	0.0028182
620.00	0.0027394
621.00	0.0027229
622.00	0.0030551
623.00	0.0029002
624.00	0.0030773
625.00	0.0031115
626.00	0.0032364
627.00	0.0032716
628.00	0.0036319
629.00	0.0038635
630.00	0.0038590
631.00	0.0041879
632.00	0.0046235
633.00	0.0050087
634.00	0.0053630
635.00	0.0055551
636.00	0.0063575
637.00	0.0065436
638.00	0.0071710
639.00	0.0080327
640.00	0.0088655
641.00	0.0095351
642.00	0.010715
643.00	0.012245
644.00	0.013649
645.00	0.015745
646.00	0.018236
647.00	0.021393
648.00	0.024968
649.00	0.030197
650.00	0.035029
651.00	0.042709
652.00	0.051866
653.00	0.063089
654.00	0.076452
655.00	0.093352
656.00	0.11344
657.00	0.13776
658.00	0.16674
659.00	0.20124
660.00	0.23827
661.00	0.28169
662.00	0.33311
663.00	0.39662
664.00	0.45575
665.00	0.52730
666.00	0.59567
667.00	0.67051
668.00	0.73509
669.00	0.80160
670.00	0.85869
671.00	0.91770
672.00	0.95383
673.00	0.98119
674.00	0.99909
675.00	1.0000
676.00	0.98534
677.00	0.96453
678.00	0.92565
679.00	0.88314
680.00	0.82522
681.00	0.77622
682.00	0.71466
683.00	0.66173
684.00	0.60067
685.00	0.54599
686.00	0.49862
687.00	0.45142
688.00	0.41301
689.00	0.37478
690.00	0.34240
691.00	0.31660
692.00	0.29096
693.00	0.26838
694.00	0.24751
695.00	0.23438
696.00	0.22579
697.00	0.21387
698.00	0.20668
699.00	0.19851
700.00	0.19303
701.00	0.19179
702.00	0.18580
703.00	0.18475
704.00	0.18094
705.00	0.17844
706.00	0.17767
707.00	0.17974
708.00	0.18070
709.00	0.17991
710.00	0.17954
711.00	0.18142
712.00	0.18162
713.00	0.18146
714.00	0.18683
715.00	0.18870
716.00	0.18819
717.00	0.18933
718.00	0.19349
719.00	0.19692
720.00	0.19326
721.00	0.19367
722.00	0.19897
723.00	0.19578
724.00	0.19767
725.00	0.19528
726.00	0.19081
727.00	0.18653
728.00	0.18294
729.00	0.17795
730.00	0.17160
731.00	0.16924
732.00	0.16049
733.00	0.15567
734.00	0.14636
735.00	0.14359
736.00	0.13806
737.00	0.13213
738.00	0.12546
739.00	0.11707
740.00	0.11559
741.00	0.10898
742.00	0.10484
743.00	0.099830
744.00	0.095820
745.00	0.091075
746.00	0.086896
747.00	0.084730
748.00	0.082104
749.00	0.079204
750.00	0.075781
751.00	0.074213
752.00	0.068482
753.00	0.067871
754.00	0.063162
755.00	0.063462
756.00	0.057432
757.00	0.057632
758.00	0.054931
759.00	0.052469
760.00	0.051334
761.00	0.048278
762.00	0.047722
763.00	0.046216
764.00	0.043200
765.00	0.042996
766.00	0.038793
767.00	0.039019
768.00	0.036845
769.00	0.035553
770.00	0.034128
771.00	0.034620
772.00	0.033250
773.00	0.031104
774.00	0.030963
775.00	0.030402
776.00	0.028721
777.00	0.028698
778.00	0.028550
779.00	0.027443
780.00	0.027134
781.00	0.026266
782.00	0.025985
783.00	0.026083
784.00	0.025947
785.00	0.025664
786.00	0.026465
787.00	0.024136
788.00	0.023727
789.00	0.024398
790.00	0.023746
791.00	0.023948
792.00	0.022910
793.00	0.023673
794.00	0.022786
795.00	0.023184
796.00	0.023025
797.00	0.022965
798.00	0.021853
799.00	0.022460
800.00	0.022721
