Wavelength (nm)	T05 abs N
300.00	0.11540
301.00	0.11802
302.00	0.12072
303.00	0.12426
304.00	0.12761
305.00	0.13109
306.00	0.13476
307.00	0.13851
308.00	0.14223
309.00	0.14603
310.00	0.14941
311.00	0.15333
312.00	0.15731
313.00	0.16126
314.00	0.16550
315.00	0.16953
316.00	0.17393
317.00	0.17783
318.00	0.18186
319.00	0.18484
320.00	0.18733
321.00	0.18925
322.00	0.18977
323.00	0.18938
324.00	0.18812
325.00	0.18588
326.00	0.18344
327.00	0.18024
328.00	0.17716
329.00	0.17458
330.00	0.17236
331.00	0.17083
332.00	0.16983
333.00	0.16970
334.00	0.17006
335.00	0.17109
336.00	0.17285
337.00	0.17480
338.00	0.17721
339.00	0.18019
340.00	0.18343
341.00	0.18731
342.00	0.19118
343.00	0.19538
344.00	0.20002
345.00	0.20537
346.00	0.21076
347.00	0.21674
348.00	0.22334
349.00	0.23015
350.00	0.23752
351.00	0.24510
352.00	0.25282
353.00	0.26098
354.00	0.26944
355.00	0.27820
356.00	0.28735
357.00	0.29653
358.00	0.30536
359.00	0.31503
360.00	0.32537
361.00	0.33595
362.00	0.34712
363.00	0.35813
364.00	0.36841
365.00	0.37906
366.00	0.39106
367.00	0.40421
368.00	0.41782
369.00	0.43100
370.00	0.44242
371.00	0.45299
372.00	0.46307
373.00	0.47300
374.00	0.48258
375.00	0.49343
376.00	0.50383
377.00	0.51289
378.00	0.52171
379.00	0.53210
380.00	0.54020
381.00	0.54728
382.00	0.55576
383.00	0.56600
384.00	0.57548
385.00	0.58856
386.00	0.60109
387.00	0.61683
388.00	0.63551
389.00	0.65345
390.00	0.66951
391.00	0.68886
392.00	0.71168
393.00	0.73223
394.00	0.74790
395.00	0.76235
396.00	0.77654
397.00	0.79131
398.00	0.80413
399.00	0.81502
400.00	0.81909
401.00	0.82483
402.00	0.83012
403.00	0.83923
404.00	0.84925
405.00	0.86285
406.00	0.87789
407.00	0.89098
408.00	0.91046
409.00	0.93234
410.00	0.95235
411.00	0.97070
412.00	0.98583
413.00	0.99857
414.00	1.0000
415.00	0.99066
416.00	0.97461
417.00	0.95055
418.00	0.91973
419.00	0.87939
420.00	0.83240
421.00	0.78369
422.00	0.73218
423.00	0.68035
424.00	0.62329
425.00	0.56627
426.00	0.51140
427.00	0.45766
428.00	0.41037
429.00	0.36411
430.00	0.32379
431.00	0.28942
432.00	0.25371
433.00	0.21831
434.00	0.19088
435.00	0.16645
436.00	0.14540
437.00	0.12781
438.00	0.11238
439.00	0.099051
440.00	0.086935
441.00	0.076901
442.00	0.068967
443.00	0.063026
444.00	0.057150
445.00	0.052178
446.00	0.048172
447.00	0.044404
448.00	0.041247
449.00	0.038413
450.00	0.036123
451.00	0.033744
452.00	0.031997
453.00	0.029896
454.00	0.028765
455.00	0.027444
456.00	0.026534
457.00	0.026890
458.00	0.026644
459.00	0.026983
460.00	0.027485
461.00	0.027467
462.00	0.026716
463.00	0.027055
464.00	0.029300
465.00	0.031696
466.00	0.033279
467.00	0.032902
468.00	0.034228
469.00	0.033760
470.00	0.032922
471.00	0.032559
472.00	0.033404
473.00	0.034916
474.00	0.035099
475.00	0.035753
476.00	0.036618
477.00	0.036023
478.00	0.034970
479.00	0.034320
480.00	0.035018
481.00	0.035052
482.00	0.034837
483.00	0.034483
484.00	0.034079
485.00	0.035462
486.00	0.037743
487.00	0.036049
488.00	0.035461
489.00	0.036135
490.00	0.037421
491.00	0.038863
492.00	0.041491
493.00	0.045345
494.00	0.049084
495.00	0.052979
496.00	0.059581
497.00	0.064156
498.00	0.068555
499.00	0.073559
500.00	0.077904
501.00	0.082604
502.00	0.086901
503.00	0.090705
504.00	0.093660
505.00	0.095836
506.00	0.097473
507.00	0.099297
508.00	0.10075
509.00	0.10115
510.00	0.10103
511.00	0.099602
512.00	0.096503
513.00	0.092439
514.00	0.087396
515.00	0.081519
516.00	0.076150
517.00	0.070937
518.00	0.065775
519.00	0.061487
520.00	0.057130
521.00	0.053231
522.00	0.050394
523.00	0.047792
524.00	0.046095
525.00	0.044140
526.00	0.043577
527.00	0.043634
528.00	0.044214
529.00	0.046117
530.00	0.048621
531.00	0.051872
532.00	0.056592
533.00	0.061556
534.00	0.067228
535.00	0.073316
536.00	0.078370
537.00	0.082255
538.00	0.085884
539.00	0.086997
540.00	0.085617
541.00	0.082958
542.00	0.078480
543.00	0.072701
544.00	0.066220
545.00	0.060020
546.00	0.053843
547.00	0.048494
548.00	0.043850
549.00	0.040137
550.00	0.036919
551.00	0.034536
552.00	0.032844
553.00	0.031844
554.00	0.031240
555.00	0.031034
556.00	0.030738
557.00	0.030650
558.00	0.030590
559.00	0.030331
560.00	0.030312
561.00	0.029976
562.00	0.029585
563.00	0.028785
564.00	0.028023
565.00	0.026679
566.00	0.025549
567.00	0.024409
568.00	0.023033
569.00	0.021839
570.00	0.020198
571.00	0.019790
572.00	0.019910
573.00	0.018220
574.00	0.016834
575.00	0.017867
576.00	0.017035
577.00	0.014933
578.00	0.015557
579.00	0.016094
580.00	0.014973
581.00	0.014993
582.00	0.014019
583.00	0.014048
584.00	0.015007
585.00	0.016169
586.00	0.015360
587.00	0.015251
588.00	0.016415
589.00	0.017773
590.00	0.018718
591.00	0.020753
592.00	0.022604
593.00	0.023831
594.00	0.025708
595.00	0.028392
596.00	0.031475
597.00	0.035701
598.00	0.040004
599.00	0.043084
600.00	0.047137
601.00	0.051057
602.00	0.055065
603.00	0.058375
604.00	0.062516
605.00	0.066257
606.00	0.068891
607.00	0.071354
608.00	0.073283
609.00	0.074248
610.00	0.074012
611.00	0.074079
612.00	0.073515
613.00	0.072542
614.00	0.071189
615.00	0.070085
616.00	0.067124
617.00	0.063964
618.00	0.060959
619.00	0.058952
620.00	0.056001
621.00	0.053589
622.00	0.051354
623.00	0.049085
624.00	0.046503
625.00	0.044533
626.00	0.042918
627.00	0.041587
628.00	0.040591
629.00	0.040011
630.00	0.039478
631.00	0.039200
632.00	0.038863
633.00	0.039381
634.00	0.039680
635.00	0.040161
636.00	0.040782
637.00	0.041688
638.00	0.042658
639.00	0.043257
640.00	0.044298
641.00	0.046378
642.00	0.048327
