Wavelength (nm)	T07 abs N
300.00	0.089556
301.00	0.089696
302.00	0.089894
303.00	0.090018
304.00	0.090548
305.00	0.091220
306.00	0.092294
307.00	0.093490
308.00	0.094237
309.00	0.095002
310.00	0.096145
311.00	0.096844
312.00	0.097279
313.00	0.097764
314.00	0.098597
315.00	0.099233
316.00	0.099753
317.00	0.10054
318.00	0.10155
319.00	0.10252
320.00	0.10387
321.00	0.10577
322.00	0.10754
323.00	0.10983
324.00	0.11222
325.00	0.11496
326.00	0.11854
327.00	0.12197
328.00	0.12554
329.00	0.12986
330.00	0.13486
331.00	0.14026
332.00	0.14590
333.00	0.15224
334.00	0.15874
335.00	0.16557
336.00	0.17231
337.00	0.17927
338.00	0.18642
339.00	0.19327
340.00	0.19996
341.00	0.20681
342.00	0.21383
343.00	0.22076
344.00	0.22785
345.00	0.23489
346.00	0.24231
347.00	0.24990
348.00	0.25783
349.00	0.26625
350.00	0.27516
351.00	0.28439
352.00	0.29415
353.00	0.30422
354.00	0.31429
355.00	0.32346
356.00	0.33143
357.00	0.33808
358.00	0.34297
359.00	0.34761
360.00	0.35272
361.00	0.35716
362.00	0.36014
363.00	0.36202
364.00	0.36299
365.00	0.36279
366.00	0.36189
367.00	0.36091
368.00	0.35963
369.00	0.35735
370.00	0.35512
371.00	0.35373
372.00	0.35169
373.00	0.35050
374.00	0.35114
375.00	0.35073
376.00	0.35117
377.00	0.35257
378.00	0.35517
379.00	0.35743
380.00	0.36109
381.00	0.36488
382.00	0.37037
383.00	0.37614
384.00	0.38293
385.00	0.39100
386.00	0.40057
387.00	0.41101
388.00	0.42191
389.00	0.43362
390.00	0.44679
391.00	0.46554
392.00	0.48204
393.00	0.50042
394.00	0.51748
395.00	0.53710
396.00	0.55942
397.00	0.58255
398.00	0.60628
399.00	0.62619
400.00	0.64511
401.00	0.66948
402.00	0.69470
403.00	0.71846
404.00	0.74590
405.00	0.77548
406.00	0.80081
407.00	0.82801
408.00	0.86000
409.00	0.89655
410.00	0.92726
411.00	0.95255
412.00	0.98400
