Wavelength (nm)	T08 abs N
300.00	0.096976
301.00	0.096168
302.00	0.095689
303.00	0.094797
304.00	0.094771
305.00	0.094657
306.00	0.094894
307.00	0.094976
308.00	0.095487
309.00	0.096222
310.00	0.096552
311.00	0.096409
312.00	0.095672
313.00	0.094167
314.00	0.091064
315.00	0.087497
316.00	0.083366
317.00	0.079048
318.00	0.075162
319.00	0.071703
320.00	0.069082
321.00	0.067241
322.00	0.065984
323.00	0.065920
324.00	0.066024
325.00	0.066898
326.00	0.068045
327.00	0.069207
328.00	0.070480
329.00	0.071967
330.00	0.073194
331.00	0.074648
332.00	0.075895
333.00	0.077059
334.00	0.078498
335.00	0.079605
336.00	0.080939
337.00	0.082534
338.00	0.084342
339.00	0.086232
340.00	0.088460
341.00	0.090969
342.00	0.093886
343.00	0.097089
344.00	0.10046
345.00	0.10376
346.00	0.10736
347.00	0.11110
348.00	0.11429
349.00	0.11745
350.00	0.11992
351.00	0.12248
352.00	0.12455
353.00	0.12652
354.00	0.12877
355.00	0.13119
356.00	0.13397
357.00	0.13773
358.00	0.14192
359.00	0.14739
360.00	0.15411
361.00	0.16131
362.00	0.16967
363.00	0.17877
364.00	0.18755
365.00	0.19604
366.00	0.20421
367.00	0.21130
368.00	0.21771
369.00	0.22191
370.00	0.22444
371.00	0.22429
372.00	0.22282
373.00	0.21974
374.00	0.21593
375.00	0.21132
376.00	0.20782
377.00	0.20547
378.00	0.20455
379.00	0.20631
380.00	0.21003
381.00	0.21498
382.00	0.22139
383.00	0.22963
384.00	0.23847
385.00	0.24752
386.00	0.25656
387.00	0.26585
388.00	0.27455
389.00	0.28449
390.00	0.29558
391.00	0.30914
392.00	0.32445
393.00	0.34172
394.00	0.36266
395.00	0.38795
396.00	0.41998
397.00	0.45795
398.00	0.50095
399.00	0.54591
400.00	0.59512
401.00	0.64956
402.00	0.70084
403.00	0.74939
404.00	0.79384
405.00	0.82763
406.00	0.85219
407.00	0.86762
408.00	0.88004
409.00	0.88630
410.00	0.88815
411.00	0.88653
412.00	0.88637
413.00	0.89057
414.00	0.89384
415.00	0.90599
416.00	0.92072
417.00	0.94222
418.00	0.96855
419.00	0.98635
420.00	0.99768
421.00	1.00000
422.00	0.99134
423.00	0.97824
424.00	0.95848
425.00	0.93498
426.00	0.90127
427.00	0.85656
428.00	0.80813
429.00	0.73916
430.00	0.66378
431.00	0.58747
432.00	0.50671
433.00	0.42074
434.00	0.34737
435.00	0.28643
436.00	0.22949
437.00	0.18338
438.00	0.14565
439.00	0.11611
440.00	0.092477
441.00	0.072827
442.00	0.060103
443.00	0.049344
444.00	0.041569
445.00	0.035979
446.00	0.031005
447.00	0.027841
448.00	0.025577
449.00	0.023826
450.00	0.022553
451.00	0.021486
452.00	0.020883
453.00	0.020661
454.00	0.020325
455.00	0.020399
456.00	0.020473
457.00	0.020471
458.00	0.020795
459.00	0.021147
460.00	0.021092
461.00	0.021841
462.00	0.021971
463.00	0.022419
464.00	0.022635
465.00	0.022988
466.00	0.023191
467.00	0.023745
468.00	0.024160
469.00	0.024597
470.00	0.024581
471.00	0.025105
472.00	0.025485
473.00	0.025168
474.00	0.025643
475.00	0.025251
476.00	0.025944
477.00	0.026227
478.00	0.025774
479.00	0.026091
480.00	0.026603
481.00	0.026725
482.00	0.026613
483.00	0.026599
484.00	0.026365
485.00	0.027049
486.00	0.027009
487.00	0.025991
488.00	0.025969
489.00	0.026607
490.00	0.026693
491.00	0.027037
492.00	0.028398
493.00	0.028318
494.00	0.029102
495.00	0.030922
496.00	0.032042
497.00	0.034117
498.00	0.036717
499.00	0.040661
500.00	0.044551
501.00	0.048689
502.00	0.052965
503.00	0.056346
504.00	0.059333
505.00	0.061981
506.00	0.065645
507.00	0.067530
508.00	0.069708
509.00	0.071990
510.00	0.074410
511.00	0.077046
