Wavelength (nm)	T09 abs N
350.00	0.15973
351.00	0.16461
352.00	0.17050
353.00	0.17779
354.00	0.18568
355.00	0.19418
356.00	0.20257
357.00	0.21039
358.00	0.21703
359.00	0.22315
360.00	0.22794
361.00	0.23107
362.00	0.23217
363.00	0.23098
364.00	0.22829
365.00	0.22466
366.00	0.22037
367.00	0.21632
368.00	0.21338
369.00	0.21144
370.00	0.21102
371.00	0.21254
372.00	0.21591
373.00	0.22149
374.00	0.22925
375.00	0.23903
376.00	0.25020
377.00	0.26232
378.00	0.27525
379.00	0.28772
380.00	0.29990
381.00	0.31211
382.00	0.32513
383.00	0.33931
384.00	0.35464
385.00	0.37353
386.00	0.39455
387.00	0.42103
388.00	0.45141
389.00	0.48605
390.00	0.52567
391.00	0.57084
392.00	0.62225
393.00	0.67334
394.00	0.72509
395.00	0.77449
396.00	0.81894
397.00	0.85507
398.00	0.88266
399.00	0.89671
400.00	0.90374
401.00	0.90683
402.00	0.90544
403.00	0.90594
404.00	0.90679
405.00	0.91076
406.00	0.91335
407.00	0.91714
408.00	0.92284
409.00	0.93201
410.00	0.94663
411.00	0.96286
412.00	0.98098
413.00	0.99512
414.00	1.0000
415.00	0.99871
416.00	0.98885
417.00	0.97001
418.00	0.94164
419.00	0.89550
420.00	0.82854
421.00	0.74289
422.00	0.64719
423.00	0.55076
424.00	0.45513
425.00	0.36802
426.00	0.29303
427.00	0.22752
428.00	0.17780
429.00	0.13783
430.00	0.10623
431.00	0.084249
432.00	0.067023
433.00	0.053118
434.00	0.043224
435.00	0.036248
436.00	0.030847
437.00	0.026967
438.00	0.023799
439.00	0.021619
440.00	0.020116
441.00	0.018832
442.00	0.017979
443.00	0.017371
444.00	0.016875
445.00	0.016696
446.00	0.016573
447.00	0.016645
448.00	0.016742
449.00	0.017006
450.00	0.017322
451.00	0.017762
452.00	0.018158
453.00	0.018579
454.00	0.018926
455.00	0.019301
456.00	0.019843
457.00	0.020449
458.00	0.021024
459.00	0.021493
460.00	0.021909
461.00	0.022285
462.00	0.022628
463.00	0.022839
464.00	0.023142
465.00	0.023052
466.00	0.023042
467.00	0.022876
468.00	0.023073
469.00	0.023156
470.00	0.023085
471.00	0.023188
472.00	0.023564
473.00	0.023864
474.00	0.024088
475.00	0.024316
476.00	0.024547
477.00	0.024829
478.00	0.025280
479.00	0.025568
480.00	0.026022
481.00	0.026458
482.00	0.027113
483.00	0.028005
484.00	0.029165
485.00	0.031182
486.00	0.033656
487.00	0.035144
488.00	0.037739
489.00	0.042349
490.00	0.047615
491.00	0.053329
492.00	0.059263
493.00	0.064607
494.00	0.068877
495.00	0.072246
496.00	0.074625
497.00	0.076359
498.00	0.077684
499.00	0.079278
500.00	0.080771
501.00	0.082719
502.00	0.085356
503.00	0.088209
504.00	0.091130
505.00	0.093743
506.00	0.095778
507.00	0.097114
508.00	0.097796
509.00	0.097890
510.00	0.097188
511.00	0.095295
512.00	0.091895
513.00	0.087001
514.00	0.080950
515.00	0.074255
516.00	0.067044
517.00	0.060101
518.00	0.053394
519.00	0.047448
520.00	0.042334
521.00	0.037849
522.00	0.034057
523.00	0.030948
524.00	0.028663
525.00	0.027210
526.00	0.026281
527.00	0.026092
528.00	0.026365
529.00	0.027133
530.00	0.028175
531.00	0.029245
532.00	0.029987
533.00	0.030229
534.00	0.029562
535.00	0.028492
536.00	0.027368
537.00	0.026414
538.00	0.025598
539.00	0.024746
540.00	0.023717
541.00	0.022425
542.00	0.021050
543.00	0.019494
544.00	0.017911
545.00	0.016610
546.00	0.015338
547.00	0.014286
548.00	0.013118
549.00	0.011915
550.00	0.010761
551.00	0.0098605
552.00	0.0090990
553.00	0.0083739
554.00	0.0078200
555.00	0.0073407
556.00	0.0070250
557.00	0.0067922
558.00	0.0066339
559.00	0.0063174
560.00	0.0061402
561.00	0.0059545
562.00	0.0057385
563.00	0.0055802
564.00	0.0054067
565.00	0.0052477
566.00	0.0051123
567.00	0.0051952
568.00	0.0053778
569.00	0.0055490
570.00	0.0059614
571.00	0.0063699
572.00	0.0069048
573.00	0.0074160
574.00	0.0081875
575.00	0.0088098
576.00	0.0095250
577.00	0.010839
578.00	0.012247
579.00	0.014008
580.00	0.016486
581.00	0.019550
582.00	0.022574
583.00	0.025030
584.00	0.027803
585.00	0.030421
586.00	0.031954
587.00	0.033505
588.00	0.034834
589.00	0.035270
590.00	0.035085
591.00	0.033960
592.00	0.032215
593.00	0.030165
594.00	0.027764
595.00	0.025147
596.00	0.022621
597.00	0.020038
598.00	0.018043
599.00	0.016396
600.00	0.015219
601.00	0.014321
602.00	0.013620
603.00	0.013004
604.00	0.012412
605.00	0.011717
606.00	0.011192
607.00	0.010709
608.00	0.010410
609.00	0.010333
610.00	0.010335
611.00	0.010201
612.00	0.010096
613.00	0.010091
614.00	0.010080
615.00	0.010114
616.00	0.010152
617.00	0.010135
618.00	0.010366
619.00	0.010694
620.00	0.011519
621.00	0.012653
622.00	0.014812
623.00	0.018150
624.00	0.022584
625.00	0.028209
626.00	0.034114
627.00	0.039746
628.00	0.044366
629.00	0.047512
630.00	0.049672
631.00	0.051748
632.00	0.055207
633.00	0.062298
634.00	0.076409
635.00	0.10049
636.00	0.13577
637.00	0.18079
638.00	0.22924
639.00	0.27112
640.00	0.29751
641.00	0.30303
642.00	0.28662
643.00	0.25464
644.00	0.21315
645.00	0.16983
646.00	0.13035
647.00	0.097510
648.00	0.072227
649.00	0.053374
650.00	0.040209
651.00	0.031103
652.00	0.024837
653.00	0.020294
654.00	0.016888
655.00	0.013709
656.00	0.012485
657.00	0.0094185
658.00	0.0070257
659.00	0.0059918
660.00	0.0046863
661.00	0.0037261
