Wavelength (nm)	T10 abs N
350.00	0.051501
351.00	0.051118
352.00	0.050293
353.00	0.049646
354.00	0.049235
355.00	0.050008
356.00	0.049662
357.00	0.049471
358.00	0.050375
359.00	0.049585
360.00	0.051367
361.00	0.053235
362.00	0.054139
363.00	0.055445
364.00	0.056267
365.00	0.058093
366.00	0.060112
367.00	0.062943
368.00	0.064676
369.00	0.067906
370.00	0.071050
371.00	0.074394
372.00	0.078929
373.00	0.084310
374.00	0.089699
375.00	0.096221
376.00	0.10375
377.00	0.11244
378.00	0.12104
379.00	0.13058
380.00	0.14104
381.00	0.15245
382.00	0.16369
383.00	0.17517
384.00	0.18518
385.00	0.19534
386.00	0.20385
387.00	0.21008
388.00	0.21601
389.00	0.22240
390.00	0.22796
391.00	0.23499
392.00	0.24285
393.00	0.25218
394.00	0.26330
395.00	0.27897
396.00	0.29905
397.00	0.32488
398.00	0.35713
399.00	0.39785
400.00	0.44581
401.00	0.50136
402.00	0.56510
403.00	0.63789
404.00	0.72197
405.00	0.80941
406.00	0.88779
407.00	0.95018
408.00	0.98973
409.00	1.0000
410.00	0.97894
411.00	0.93177
412.00	0.86166
413.00	0.77750
414.00	0.68635
415.00	0.59829
416.00	0.50544
417.00	0.42442
418.00	0.35377
419.00	0.29136
420.00	0.23882
421.00	0.19558
422.00	0.16104
423.00	0.13322
424.00	0.11122
425.00	0.094239
426.00	0.082196
427.00	0.073511
428.00	0.063189
429.00	0.055655
430.00	0.048227
431.00	0.042606
432.00	0.037677
433.00	0.033645
434.00	0.029684
435.00	0.027445
436.00	0.024036
437.00	0.022936
438.00	0.020928
439.00	0.019734
440.00	0.019070
441.00	0.017800
442.00	0.016563
443.00	0.015389
444.00	0.014890
445.00	0.014182
446.00	0.013809
447.00	0.012965
448.00	0.012677
449.00	0.012117
450.00	0.012054
451.00	0.012974
452.00	0.011645
453.00	0.011615
454.00	0.011595
455.00	0.011266
456.00	0.011225
457.00	0.011951
458.00	0.011886
459.00	0.011957
460.00	0.011538
461.00	0.011718
462.00	0.012047
463.00	0.012056
464.00	0.011840
465.00	0.011533
466.00	0.011946
467.00	0.011680
468.00	0.012464
469.00	0.012654
470.00	0.012608
471.00	0.012585
472.00	0.011979
473.00	0.012360
474.00	0.012343
475.00	0.012205
476.00	0.012541
477.00	0.012036
478.00	0.012069
479.00	0.012696
480.00	0.012440
481.00	0.012547
482.00	0.012923
483.00	0.012881
484.00	0.013557
485.00	0.014243
486.00	0.014992
487.00	0.015030
488.00	0.015740
489.00	0.016670
490.00	0.017668
491.00	0.018257
492.00	0.019898
493.00	0.020388
494.00	0.021335
495.00	0.022144
496.00	0.023411
497.00	0.024319
498.00	0.025075
499.00	0.025136
500.00	0.025835
501.00	0.025769
502.00	0.025621
503.00	0.025706
504.00	0.025198
505.00	0.025474
506.00	0.024576
507.00	0.024400
508.00	0.023483
509.00	0.022985
510.00	0.022340
511.00	0.021518
512.00	0.020659
513.00	0.020065
514.00	0.019527
515.00	0.019273
516.00	0.019191
517.00	0.017708
518.00	0.017661
519.00	0.017456
520.00	0.017015
521.00	0.016973
522.00	0.016254
523.00	0.016050
524.00	0.016119
525.00	0.015594
526.00	0.015441
527.00	0.015363
528.00	0.015103
529.00	0.014326
530.00	0.014117
531.00	0.013712
532.00	0.014492
533.00	0.013840
534.00	0.014235
535.00	0.014327
536.00	0.013923
537.00	0.014083
538.00	0.013889
539.00	0.013875
540.00	0.013843
541.00	0.014004
542.00	0.013572
543.00	0.013997
544.00	0.014044
545.00	0.014648
546.00	0.014408
547.00	0.015039
548.00	0.015963
549.00	0.016614
550.00	0.018427
551.00	0.019512
552.00	0.021555
553.00	0.023501
554.00	0.024859
555.00	0.026345
556.00	0.028597
557.00	0.030350
558.00	0.031227
559.00	0.032547
560.00	0.033582
561.00	0.034327
562.00	0.034072
563.00	0.033830
564.00	0.033605
565.00	0.034255
566.00	0.033622
567.00	0.033571
568.00	0.033962
569.00	0.033580
570.00	0.032934
571.00	0.032038
572.00	0.031754
573.00	0.031173
574.00	0.030598
575.00	0.030404
576.00	0.030091
577.00	0.029453
578.00	0.029199
579.00	0.029216
580.00	0.029573
581.00	0.029642
582.00	0.029614
583.00	0.029750
584.00	0.030812
585.00	0.032296
586.00	0.033098
587.00	0.034426
588.00	0.036180
589.00	0.037866
590.00	0.040220
591.00	0.043334
592.00	0.047127
593.00	0.051593
594.00	0.058035
595.00	0.065473
596.00	0.074979
597.00	0.087301
598.00	0.10040
599.00	0.11528
600.00	0.13135
601.00	0.14681
602.00	0.16011
603.00	0.16957
604.00	0.17460
605.00	0.17316
606.00	0.16689
607.00	0.15769
608.00	0.14654
609.00	0.13479
610.00	0.12235
611.00	0.11018
612.00	0.098566
613.00	0.087681
614.00	0.077758
615.00	0.068916
616.00	0.061425
617.00	0.054533
618.00	0.049386
619.00	0.045650
620.00	0.042174
621.00	0.038531
622.00	0.034781
623.00	0.032182
624.00	0.029474
625.00	0.026622
626.00	0.024484
627.00	0.022734
628.00	0.020849
629.00	0.019064
630.00	0.017752
631.00	0.016689
632.00	0.015357
633.00	0.013673
634.00	0.012796
635.00	0.012005
636.00	0.010879
637.00	0.010104
638.00	0.0093080
639.00	0.0087000
640.00	0.0077779
641.00	0.0073310
642.00	0.0071646
643.00	0.0062297
644.00	0.0063058
645.00	0.0054221
646.00	0.0048965
647.00	0.0047714
648.00	0.0045392
649.00	0.0040979
650.00	0.0038003
651.00	0.0036442
652.00	0.0030593
653.00	0.0037462
654.00	0.0035363
655.00	0.0034755
656.00	0.0031181
657.00	0.0035638
658.00	0.0021792
659.00	0.0029712
660.00	0.0024826
661.00	0.0029149
662.00	0.0019461
663.00	0.0021784
664.00	0.0018089
665.00	0.0019046
666.00	0.0020576
667.00	0.0013490
668.00	0.0013296
669.00	0.0013702
670.00	0.0015660
671.00	0.0019856
672.00	0.0016296
673.00	0.0015386
674.00	0.0015062
675.00	0.0013424
676.00	0.0012433
