Wavelength (nm)	H12 abs N
350.00	0.087424
351.00	0.089017
352.00	0.090803
353.00	0.092815
354.00	0.095093
355.00	0.097645
356.00	0.10034
357.00	0.10317
358.00	0.10570
359.00	0.10887
360.00	0.11221
361.00	0.11550
362.00	0.11864
363.00	0.12131
364.00	0.12422
365.00	0.12754
366.00	0.13089
367.00	0.13423
368.00	0.13713
369.00	0.14013
370.00	0.14432
371.00	0.14969
372.00	0.15534
373.00	0.16181
374.00	0.16837
375.00	0.17612
376.00	0.18421
377.00	0.19270
378.00	0.20165
379.00	0.20995
380.00	0.21743
381.00	0.22485
382.00	0.23189
383.00	0.23926
384.00	0.24619
385.00	0.25310
386.00	0.26050
387.00	0.26961
388.00	0.28047
389.00	0.29339
390.00	0.30747
391.00	0.32407
392.00	0.34411
393.00	0.36522
394.00	0.38739
395.00	0.41161
396.00	0.43818
397.00	0.46679
398.00	0.49855
399.00	0.53024
400.00	0.56326
401.00	0.59924
402.00	0.63677
403.00	0.67630
404.00	0.71737
405.00	0.75832
406.00	0.79695
407.00	0.83216
408.00	0.86950
409.00	0.90592
410.00	0.93512
411.00	0.95992
412.00	0.97905
413.00	0.99300
414.00	0.99802
415.00	1.0000
416.00	0.99245
417.00	0.98009
418.00	0.96300
419.00	0.94237
420.00	0.91899
421.00	0.88712
422.00	0.84774
423.00	0.80088
424.00	0.74733
425.00	0.68774
426.00	0.62394
427.00	0.55198
428.00	0.47999
429.00	0.40455
430.00	0.33429
431.00	0.27476
432.00	0.22091
433.00	0.17125
434.00	0.13279
435.00	0.10418
436.00	0.080858
437.00	0.063675
438.00	0.050428
439.00	0.040593
440.00	0.033328
441.00	0.027975
442.00	0.024307
443.00	0.021344
444.00	0.018931
445.00	0.017117
446.00	0.015939
447.00	0.014913
448.00	0.013933
449.00	0.013410
450.00	0.012662
451.00	0.012106
452.00	0.011621
453.00	0.011363
454.00	0.011163
455.00	0.010913
456.00	0.010788
457.00	0.010734
458.00	0.010697
459.00	0.010728
460.00	0.010667
461.00	0.010809
462.00	0.010549
463.00	0.010553
464.00	0.010915
465.00	0.011265
466.00	0.011522
467.00	0.011397
468.00	0.011744
469.00	0.011937
470.00	0.012371
471.00	0.012630
472.00	0.013034
473.00	0.013623
474.00	0.014280
475.00	0.015046
476.00	0.015785
477.00	0.016345
478.00	0.017002
479.00	0.017738
480.00	0.019048
481.00	0.020016
482.00	0.021020
483.00	0.021882
484.00	0.022880
485.00	0.024254
486.00	0.025644
487.00	0.025968
488.00	0.026571
489.00	0.028070
490.00	0.029434
491.00	0.030603
492.00	0.031648
493.00	0.033129
494.00	0.034514
495.00	0.036075
496.00	0.037972
497.00	0.039719
498.00	0.041410
499.00	0.043553
500.00	0.045667
501.00	0.047958
502.00	0.050310
503.00	0.052889
504.00	0.055397
505.00	0.058322
506.00	0.061559
507.00	0.064620
