Wavelength (nm)	T-12, 9374284, H2COxo-1.ems
600.00	0.0027621
601.00	0.0030264
602.00	0.0029848
603.00	0.0027378
604.00	0.0030416
605.00	0.0028502
606.00	0.0030358
607.00	0.0029654
608.00	0.0031368
609.00	0.0031971
610.00	0.0033322
611.00	0.0032748
612.00	0.0031913
613.00	0.0034833
614.00	0.0039060
615.00	0.0038817
616.00	0.0043942
617.00	0.0044051
618.00	0.0045526
619.00	0.0048356
620.00	0.0049735
621.00	0.0056438
622.00	0.0057747
623.00	0.0069362
624.00	0.0082692
625.00	0.010046
626.00	0.012827
627.00	0.017095
628.00	0.021824
629.00	0.027828
630.00	0.035052
631.00	0.041931
632.00	0.046860
633.00	0.054452
634.00	0.065813
635.00	0.081220
636.00	0.10933
637.00	0.15716
638.00	0.23282
639.00	0.35277
640.00	0.49794
641.00	0.68434
642.00	0.84037
643.00	0.95035
644.00	1.0000
645.00	0.97123
646.00	0.88330
647.00	0.75912
648.00	0.63404
649.00	0.51532
650.00	0.41379
651.00	0.33184
652.00	0.27120
653.00	0.23130
654.00	0.20150
655.00	0.18245
656.00	0.16872
657.00	0.15413
658.00	0.14260
659.00	0.12652
660.00	0.11271
661.00	0.10178
662.00	0.088089
663.00	0.077167
664.00	0.067661
665.00	0.060649
666.00	0.056519
667.00	0.051468
668.00	0.047933
669.00	0.046786
670.00	0.044868
671.00	0.043071
672.00	0.043159
673.00	0.043546
674.00	0.044184
675.00	0.044273
676.00	0.045450
677.00	0.047101
678.00	0.049362
679.00	0.049935
680.00	0.050709
681.00	0.051600
682.00	0.054124
683.00	0.056324
684.00	0.059340
685.00	0.063403
686.00	0.065350
687.00	0.065969
688.00	0.067149
689.00	0.066748
690.00	0.065247
691.00	0.063296
692.00	0.059978
693.00	0.056932
694.00	0.056717
695.00	0.055391
696.00	0.056901
697.00	0.057709
698.00	0.061280
699.00	0.064176
700.00	0.068251
701.00	0.075628
702.00	0.080104
703.00	0.085179
704.00	0.087822
705.00	0.093192
706.00	0.094474
707.00	0.096317
708.00	0.096900
709.00	0.098492
710.00	0.10060
711.00	0.10276
712.00	0.10622
713.00	0.11019
714.00	0.11449
715.00	0.11533
716.00	0.11255
717.00	0.11193
718.00	0.10718
719.00	0.098124
720.00	0.089445
721.00	0.080468
722.00	0.070243
723.00	0.061991
724.00	0.054821
725.00	0.048118
726.00	0.041722
727.00	0.036502
728.00	0.035416
729.00	0.031711
730.00	0.029377
731.00	0.028804
732.00	0.025824
733.00	0.025372
734.00	0.023802
735.00	0.022541
736.00	0.022477
737.00	0.021027
738.00	0.020405
739.00	0.019126
740.00	0.018835
741.00	0.018786
742.00	0.017960
743.00	0.017855
744.00	0.017712
745.00	0.017457
746.00	0.016709
747.00	0.016959
748.00	0.016677
749.00	0.016791
750.00	0.017129
