Wavelength (nm)	T-16, 17499-98-8, Bacteriochlorophyll a.ems
715.00	0.0088861
715.50	0.0079560
716.00	0.0092232
716.50	0.0078130
717.00	0.0082782
717.50	0.0070037
718.00	0.0078408
718.50	0.0082591
719.00	0.0076333
719.50	0.0090812
720.00	0.0080715
720.50	0.0084790
721.00	0.0088909
721.50	0.0088366
722.00	0.0086414
722.50	0.0094809
723.00	0.0087215
723.50	0.0094570
724.00	0.010201
724.50	0.0099184
725.00	0.010760
725.50	0.0096855
726.00	0.0089789
726.50	0.011411
727.00	0.0099951
727.50	0.011269
728.00	0.010583
728.50	0.010971
729.00	0.010758
729.50	0.011180
730.00	0.011179
730.50	0.0084181
731.00	0.011404
731.50	0.0095120
732.00	0.011819
732.50	0.011981
733.00	0.012968
733.50	0.011101
734.00	0.012060
734.50	0.012450
735.00	0.010482
735.50	0.010890
736.00	0.012738
736.50	0.013946
737.00	0.015561
737.50	0.013713
738.00	0.014509
738.50	0.014911
739.00	0.015416
739.50	0.016566
740.00	0.015388
740.50	0.016204
741.00	0.018610
741.50	0.022633
742.00	0.021873
742.50	0.020646
743.00	0.024473
743.50	0.025158
744.00	0.024815
744.50	0.026511
745.00	0.028983
745.50	0.029578
746.00	0.027113
746.50	0.029904
747.00	0.029957
747.50	0.033456
748.00	0.034234
748.50	0.034416
749.00	0.037841
749.50	0.039254
750.00	0.041060
750.50	0.043117
751.00	0.043845
751.50	0.050150
752.00	0.050335
752.50	0.060097
753.00	0.058246
753.50	0.059178
754.00	0.065596
754.50	0.068046
755.00	0.073524
755.50	0.075037
756.00	0.085204
756.50	0.085484
757.00	0.089291
757.50	0.098501
758.00	0.093367
758.50	0.10853
759.00	0.10578
759.50	0.11273
760.00	0.12539
760.50	0.13626
761.00	0.13678
761.50	0.15082
762.00	0.16032
762.50	0.15902
763.00	0.16766
763.50	0.18540
764.00	0.18307
764.50	0.19643
765.00	0.20808
765.50	0.21385
766.00	0.22982
766.50	0.23698
767.00	0.24962
767.50	0.26245
768.00	0.27497
768.50	0.27835
769.00	0.29596
769.50	0.31623
770.00	0.31781
770.50	0.33629
771.00	0.37108
771.50	0.36906
772.00	0.38626
772.50	0.40204
773.00	0.41113
773.50	0.43512
774.00	0.45302
774.50	0.46109
775.00	0.47628
775.50	0.52390
776.00	0.52044
776.50	0.54135
777.00	0.56692
777.50	0.57732
778.00	0.59047
778.50	0.62587
779.00	0.64189
779.50	0.67234
780.00	0.67039
780.50	0.68851
781.00	0.72992
781.50	0.75521
782.00	0.76526
782.50	0.80158
783.00	0.79478
783.50	0.81090
784.00	0.85588
784.50	0.85553
785.00	0.87368
785.50	0.89693
786.00	0.90501
786.50	0.91329
787.00	0.94022
787.50	0.93729
788.00	0.95401
788.50	0.95714
789.00	0.98605
789.50	0.97328
790.00	0.97644
790.50	0.99639
791.00	1.00000
791.50	0.99879
792.00	0.97018
792.50	0.98740
793.00	0.96144
793.50	0.97783
794.00	0.94844
794.50	0.94148
795.00	0.92600
795.50	0.89754
796.00	0.91016
796.50	0.88813
797.00	0.87317
797.50	0.81924
798.00	0.83398
798.50	0.81392
799.00	0.79501
799.50	0.74865
800.00	0.72869
800.50	0.68253
801.00	0.66162
801.50	0.65052
802.00	0.65206
802.50	0.59524
803.00	0.57365
803.50	0.55663
804.00	0.52048
804.50	0.50471
805.00	0.49196
805.50	0.46694
806.00	0.46039
806.50	0.42229
807.00	0.40234
807.50	0.37984
808.00	0.37721
808.50	0.36065
809.00	0.34713
809.50	0.32815
810.00	0.31280
810.50	0.29484
811.00	0.28792
811.50	0.26373
812.00	0.26504
812.50	0.26088
813.00	0.24546
813.50	0.22496
814.00	0.23421
814.50	0.21230
815.00	0.20663
815.50	0.18981
816.00	0.18552
816.50	0.18732
817.00	0.17817
817.50	0.17190
818.00	0.16668
818.50	0.15974
819.00	0.15942
819.50	0.15940
820.00	0.14513
820.50	0.14875
821.00	0.13788
821.50	0.13420
822.00	0.13389
822.50	0.12611
823.00	0.12703
823.50	0.12769
824.00	0.12501
824.50	0.12262
825.00	0.11134
825.50	0.10704
826.00	0.10973
826.50	0.11782
827.00	0.10586
827.50	0.11182
828.00	0.10747
828.50	0.10157
829.00	0.099415
829.50	0.10362
830.00	0.10111
830.50	0.092558
831.00	0.090417
831.50	0.088273
832.00	0.091531
832.50	0.098566
833.00	0.089788
833.50	0.088158
834.00	0.085235
834.50	0.089940
835.00	0.078871
835.50	0.075476
836.00	0.072289
836.50	0.074062
837.00	0.073186
837.50	0.078394
838.00	0.077491
838.50	0.077089
839.00	0.064406
839.50	0.068051
840.00	0.056584
840.50	0.063169
841.00	0.055028
841.50	0.052991
842.00	0.046928
842.50	0.056636
843.00	0.053456
843.50	0.051027
844.00	0.053319
844.50	0.048436
845.00	0.040057
845.50	0.043090
846.00	0.041181
846.50	0.039115
847.00	0.036887
847.50	0.041008
848.00	0.040472
848.50	0.034914
849.00	0.033592
849.50	0.033189
850.00	0.038155
850.50	0.027456
851.00	0.029701
851.50	0.020869
852.00	0.029852
852.50	0.026834
853.00	0.018172
853.50	0.023802
854.00	0.027360
854.50	0.026521
855.00	0.025285
855.50	0.020752
856.00	0.018889
856.50	0.020493
857.00	0.017841
857.50	0.022565
858.00	0.021464
858.50	0.018527
859.00	0.020416
859.50	0.016802
860.00	0.021725
860.50	0.021238
861.00	0.018504
861.50	0.017215
862.00	0.016185
862.50	0.016881
863.00	0.016246
863.50	0.014010
864.00	0.013501
864.50	0.012991
865.00	0.010064
865.50	0.011543
866.00	0.012217
866.50	0.013698
867.00	0.012895
867.50	0.013571
868.00	0.019085
868.50	0.014520
869.00	0.018692
869.50	0.016949
870.00	0.016953
870.50	0.016813
871.00	0.016538
871.50	0.014650
872.00	0.015989
872.50	0.015579
873.00	0.012218
873.50	0.013019
874.00	0.011002
874.50	0.017704
875.00	0.010994
875.50	0.010716
876.00	0.012713
876.50	0.0096263
877.00	0.0098843
877.50	0.0085404
878.00	0.014532
878.50	0.011055
879.00	0.012508
879.50	0.011034
880.00	0.010227
880.50	0.013280
881.00	0.011951
881.50	0.010622
882.00	0.0080984
882.50	0.014204
883.00	0.015397
883.50	0.010219
884.00	0.010351
884.50	0.0099519
885.00	0.010482
885.50	0.011533
886.00	0.013112
886.50	0.010056
887.00	0.010312
887.50	0.0084531
888.00	0.0087094
888.50	0.010020
889.00	0.010801
889.50	0.010133
890.00	0.0084149
890.50	0.0067053
891.00	0.0070994
891.50	0.010517
892.00	0.0086765
892.50	0.011437
893.00	0.012356
893.50	0.0078868
894.00	0.010121
894.50	0.012224
895.00	0.010514
895.50	0.0091939
896.00	0.0073501
896.50	0.012329
897.00	0.010748
897.50	0.0077279
898.00	0.0077227
898.50	0.0083714
899.00	0.0064048
899.50	0.0078373
900.00	0.011487
