SRRL LI-1800 Direct Normal Spectra
July 28, 2003 at 12:00 MST
Mostly Sunny

SRRL Atmospheric Optical Calibration System (AOCS) 
NREL-SRRL, Golden, Colorado
(5 min scans @ 2nm) 

WaveLN	Irradiance
[nm]	[watts/m^2/nm]
300	0.008721
302	0.017167
304	0.027896
306	0.040022
308	0.052971
310	0.073715
312	0.090534
314	0.101456
316	0.118088
318	0.136864
320	0.146080
322	0.154640
324	0.191849
326	0.223663
328	0.241379
330	0.246094
332	0.241882
334	0.238701
336	0.234047
338	0.254318
340	0.266663
342	0.260025
344	0.253784
346	0.260635
348	0.268311
350	0.287628
352	0.299896
354	0.311584
356	0.272797
358	0.269882
360	0.297165
362	0.313095
364	0.346786
366	0.374832
368	0.376953
370	0.372559
372	0.336578
374	0.324265
376	0.375885
378	0.401901
380	0.369476
382	0.300552
384	0.308090
386	0.337906
388	0.364395
390	0.409973
392	0.347351
394	0.344269
396	0.368469
398	0.477081
400	0.589691
402	0.615662
404	0.603699
406	0.592682
408	0.609161
410	0.618469
412	0.645081
414	0.653473
416	0.655304
418	0.646576
420	0.654938
422	0.658295
424	0.657135
426	0.654816
428	0.628784
430	0.580780
432	0.638550
434	0.695221
436	0.734344
438	0.729309
440	0.747040
442	0.801392
444	0.825531
446	0.832428
448	0.868347
450	0.910400
452	0.902802
454	0.882965
456	0.903564
458	0.905945
460	0.910095
462	0.922974
464	0.912170
466	0.894318
468	0.893799
470	0.898499
472	0.913452
474	0.931641
476	0.940979
478	0.954254
480	0.968231
482	0.973541
484	0.950592
486	0.881348
488	0.894928
490	0.947906
492	0.950073
494	0.967255
496	0.986877
498	0.976471
500	0.956573
502	0.943542
504	0.961609
506	0.982971
508	0.984589
510	0.990295
512	0.991547
514	0.974579
516	0.935944
518	0.903229
520	0.946381
522	0.982513
524	1.001038
526	0.984009
528	0.986725
530	1.036011
532	1.032776
534	1.034241
536	1.051392
538	1.044250
540	1.023254
542	1.021301
544	1.033020
546	1.040833
548	1.040710
550	1.045105
552	1.051697
554	1.061218
556	1.056519
558	1.040649
560	0.995392
562	1.011047
564	1.013245
566	1.010498
568	1.013306
570	1.004028
572	1.011963
574	1.031250
576	1.027039
578	1.019836
580	1.028137
582	1.046875
584	1.055298
586	1.041077
588	1.001953
590	0.962860
592	0.995087
594	1.004822
596	1.016479
598	1.025085
600	1.024353
602	1.027588
604	1.048706
606	1.052551
608	1.047241
610	1.041443
612	1.037781
614	1.027405
616	1.020935
618	1.025513
620	1.045471
622	1.047180
624	1.034851
626	1.027100
628	1.027954
630	1.024353
632	1.032471
634	1.039490
636	1.050415
638	1.063171
640	1.064514
642	1.053772
644	1.059021
646	1.044800
648	1.021301
650	1.021790
652	1.032043
654	1.038757
656	0.971954
658	0.973328
660	1.041504
662	1.071899
664	1.077759
666	1.078308
668	1.082581
670	1.084717
672	1.079529
674	1.086914
676	1.085693
678	1.086060
680	1.079041
682	1.083923
684	1.079285
686	1.038635
688	0.954132
690	0.950317
692	0.987885
694	0.986450
696	0.984741
698	1.009277
700	1.001892
702	0.986938
704	0.994568
706	1.017029
708	1.020447
710	1.030762
712	1.032410
714	1.031067
716	0.996124
718	0.873474
720	0.773285
722	0.830505
724	0.865631
726	0.821442
728	0.822418
730	0.827240
732	0.855316
734	0.918579
736	0.955627
738	0.961548
740	0.962006
742	0.971497
744	0.990326
746	1.006531
748	1.012756
750	1.000610
752	0.996887
754	0.998047
756	1.001770
758	0.986542
760	0.778961
762	0.534393
764	0.575043
766	0.694122
768	0.852539
770	0.944397
772	0.967804
774	0.972260
776	0.951324
778	0.946503
780	0.951813
782	0.951721
784	0.945435
786	0.941833
788	0.929382
790	0.909729
792	0.891632
794	0.891785
796	0.891357
798	0.891418
800	0.887268
802	0.878113
804	0.878906
806	0.883087
808	0.893860
810	0.864380
812	0.840027
814	0.764221
816	0.691681
818	0.672821
820	0.707977
822	0.720947
824	0.698364
826	0.757507
828	0.751587
830	0.743805
832	0.751068
834	0.762421
836	0.794495
838	0.819214
840	0.833374
842	0.841339
844	0.840302
846	0.841736
848	0.846283
850	0.822998
852	0.808685
854	0.780457
856	0.774658
858	0.817383
860	0.835480
862	0.826324
864	0.824310
866	0.786438
868	0.764465
870	0.793427
872	0.802460
874	0.802338
876	0.794464
878	0.796326
880	0.789398
882	0.786163
884	0.784607
886	0.779083
888	0.775146
890	0.777252
892	0.766998
894	0.732758
896	0.671661
898	0.596008
900	0.549255
902	0.535980
904	0.592804
906	0.643036
908	0.596008
910	0.540863
912	0.542603
914	0.533539
916	0.517303
918	0.516510
920	0.557648
922	0.594086
924	0.588196
926	0.574493
928	0.551147
930	0.467819
932	0.327240
934	0.210930
936	0.166061
938	0.170372
940	0.236511
942	0.279922
944	0.256317
946	0.229637
948	0.238487
950	0.253220
952	0.261337
954	0.262955
956	0.274460
958	0.295944
960	0.301620
962	0.323273
964	0.363190
966	0.380173
968	0.437012
970	0.508789
972	0.538116
974	0.510437
976	0.488998
978	0.504272
980	0.520294
982	0.552887
984	0.583862
986	0.596771
988	0.607574
990	0.618896
992	0.627563
994	0.628815
996	0.625153
998	0.633789
