SRRL LI-1800 Global 40-South Spectra
December 8, 2003 at 13:35 MST
Mostly Cloudy

SRRL Atmospheric Optical Calibration System (AOCS) 
NREL-SRRL, Golden, Colorado
(5 min scans @ 2nm) 

WaveLN	Irradiance
[nm]	[watts/m^2/nm]
300	0.000104
302	0.000097
304	0.000375
306	0.000910
308	0.001767
310	0.002653
312	0.004364
314	0.006269
316	0.008498
318	0.010630
320	0.012621
322	0.014840
324	0.017563
326	0.020663
328	0.023816
330	0.025932
332	0.026378
334	0.026590
336	0.026244
338	0.026431
340	0.027362
342	0.027469
344	0.027334
346	0.027205
348	0.027602
350	0.028536
352	0.029310
354	0.029234
356	0.028413
358	0.027521
360	0.027674
362	0.029240
364	0.031338
366	0.033325
368	0.034531
370	0.033850
372	0.032516
374	0.031927
376	0.032789
378	0.033678
380	0.032579
382	0.030296
384	0.028837
386	0.029558
388	0.031546
390	0.032595
392	0.032156
394	0.031853
396	0.034164
398	0.039747
400	0.045967
402	0.050213
404	0.051517
406	0.051477
408	0.051552
410	0.052496
412	0.053570
414	0.054520
416	0.054764
418	0.054571
420	0.054604
422	0.054350
424	0.053888
426	0.052885
428	0.051216
430	0.050261
432	0.051180
434	0.053679
436	0.056038
438	0.057455
440	0.058926
442	0.060699
444	0.062241
446	0.063553
448	0.065033
450	0.066196
452	0.066647
454	0.066513
456	0.066601
458	0.066708
460	0.066925
462	0.066803
464	0.066364
466	0.066105
468	0.065502
470	0.065647
472	0.065762
474	0.066048
476	0.066341
478	0.066956
480	0.067341
482	0.066746
484	0.065037
486	0.063580
488	0.063381
490	0.064247
492	0.065216
494	0.065819
496	0.065899
498	0.065510
500	0.064739
502	0.064049
504	0.063831
506	0.064159
508	0.064453
510	0.064545
512	0.064102
514	0.062943
516	0.061428
518	0.060699
520	0.061277
522	0.062332
524	0.062855
526	0.062954
528	0.063091
530	0.063629
532	0.064133
534	0.064415
536	0.064541
538	0.064178
540	0.063515
542	0.062939
544	0.062729
546	0.062733
548	0.062794
550	0.062904
552	0.062973
554	0.063007
556	0.062614
558	0.062040
560	0.061674
562	0.061111
564	0.060640
566	0.060015
568	0.059263
570	0.058582
572	0.058260
574	0.058128
576	0.058039
578	0.058229
580	0.058767
582	0.059448
584	0.059599
586	0.058582
588	0.056860
590	0.055449
592	0.055132
594	0.055588
596	0.056227
598	0.056808
600	0.057194
602	0.057650
604	0.058041
606	0.058231
608	0.058107
610	0.057745
612	0.057323
614	0.056923
616	0.056757
618	0.056843
620	0.056923
622	0.056709
624	0.056049
626	0.055077
628	0.054245
630	0.053894
632	0.054262
634	0.054914
636	0.055639
638	0.056208
640	0.056364
642	0.056244
644	0.055815
646	0.054934
648	0.054113
650	0.053690
652	0.053452
654	0.052862
656	0.052393
658	0.052967
660	0.054361
662	0.055609
664	0.056164
666	0.056278
668	0.056210
670	0.056042
672	0.055889
674	0.055824
676	0.055740
678	0.055653
680	0.055225
682	0.054489
684	0.052147
686	0.048515
688	0.045391
690	0.044510
692	0.045683
694	0.047396
696	0.048540
698	0.049116
700	0.049150
702	0.049200
704	0.049753
706	0.050550
708	0.051233
710	0.051491
712	0.051140
714	0.049274
716	0.045517
718	0.041309
720	0.038979
722	0.038742
724	0.039141
726	0.038897
728	0.038918
730	0.040192
732	0.042465
734	0.044926
736	0.046713
738	0.047678
740	0.048243
742	0.048973
744	0.049601
746	0.050167
748	0.050529
750	0.050648
752	0.050552
754	0.050043
756	0.047514
758	0.040543
760	0.030020
762	0.021871
764	0.021422
766	0.028129
768	0.037062
770	0.043644
772	0.046824
774	0.047735
776	0.047913
778	0.047802
780	0.047628
782	0.047344
784	0.046946
786	0.046144
788	0.045162
790	0.044163
792	0.043528
794	0.043194
796	0.043112
798	0.042896
800	0.042564
802	0.042349
804	0.042253
806	0.042345
808	0.042002
810	0.040754
812	0.038235
814	0.034985
816	0.032135
818	0.030873
820	0.031157
822	0.031830
824	0.032776
826	0.033457
828	0.034073
830	0.034424
832	0.034914
834	0.035995
836	0.037357
838	0.038527
840	0.039352
842	0.039852
844	0.040123
846	0.040205
848	0.039930
850	0.039169
852	0.038198
854	0.037680
856	0.038008
858	0.038752
860	0.039427
862	0.039396
864	0.038660
866	0.037853
868	0.037525
870	0.037830
872	0.038153
874	0.038042
876	0.037863
878	0.037537
880	0.037281
882	0.037016
884	0.036699
886	0.036367
888	0.036072
890	0.035503
892	0.034203
894	0.031769
896	0.028440
898	0.025197
900	0.023319
902	0.023480
904	0.024616
906	0.024850
908	0.023742
910	0.022235
912	0.021342
914	0.020966
916	0.020938
918	0.021904
920	0.023439
922	0.024374
924	0.024186
926	0.022737
928	0.019855
930	0.015540
932	0.010748
934	0.007196
936	0.005717
938	0.006393
940	0.007796
942	0.008430
944	0.008168
946	0.007781
948	0.007961
950	0.008396
952	0.008770
954	0.009124
956	0.009672
958	0.010285
960	0.011033
962	0.011925
964	0.013007
966	0.014618
968	0.016753
970	0.018576
972	0.019157
974	0.018493
976	0.017891
978	0.017985
980	0.018864
982	0.019869
984	0.020790
986	0.021506
988	0.021916
990	0.022082
992	0.022011
994	0.021915
996	0.021761
998	0.021477
1000	0.021084
1002	0.020580
1004	0.020056
1006	0.019667
1008	0.019413
1010	0.019259
1012	0.019099
1014	0.018921
1016	0.018723
1018	0.018489
1020	0.018232
1022	0.017963
1024	0.017751
1026	0.017586
1028	0.017439
1030	0.017322
1032	0.017103
1034	0.016957
1036	0.016780
1038	0.016660
1040	0.016536
1042	0.016453
1044	0.016328
1046	0.016212
1048	0.016099
1050	0.016023
1052	0.015935
1054	0.015810
1056	0.015574
1058	0.015316
1060	0.015134
1062	0.015033
1064	0.015113
1066	0.015147
1068	0.015081
1070	0.015016
1072	0.015067
1074	0.015104
1076	0.015139
1078	0.015027
1080	0.014825
1082	0.014609
1084	0.014287
1086	0.014040
1088	0.013801
1090	0.013596
1092	0.013386
1094	0.012840
1096	0.012278
1098	0.011587
1100	0.010899
