SRRL LI-1800 Global 40-South Spectra
December 9, 2003 at 13:00 MST
Mostly Sunny

SRRL Atmospheric Optical Calibration System (AOCS) 
NREL-SRRL, Golden, Colorado
(5 min scans @ 2nm) 

WaveLN	Irradiance
[nm]	[watts/m^2/nm]
300	0.001981
302	0.003682
304	0.007227
306	0.013744
308	0.024479
310	0.038309
312	0.058294
314	0.082493
316	0.106468
318	0.129631
320	0.154350
322	0.179955
324	0.210617
326	0.250381
328	0.291367
330	0.319519
332	0.327072
334	0.333496
336	0.334473
338	0.341309
340	0.359543
342	0.365646
344	0.367462
346	0.372787
348	0.383514
350	0.402283
352	0.419998
354	0.423492
356	0.417755
358	0.409515
360	0.419342
362	0.450241
364	0.488068
366	0.523254
368	0.546661
370	0.540344
372	0.525055
374	0.522308
376	0.543610
378	0.562775
380	0.548462
382	0.513916
384	0.495132
386	0.514862
388	0.553314
390	0.575928
392	0.571686
394	0.572174
396	0.619690
398	0.730072
400	0.848236
402	0.929993
404	0.958649
406	0.964142
408	0.975433
410	0.997864
412	1.024292
414	1.045532
416	1.053101
418	1.051697
420	1.053284
422	1.053711
424	1.046082
426	1.025085
428	0.993103
430	0.978455
432	1.001282
434	1.055542
436	1.105469
438	1.136230
440	1.170105
442	1.209900
444	1.246521
446	1.280823
448	1.318542
450	1.348022
452	1.362915
454	1.371948
456	1.383972
458	1.398193
460	1.412598
462	1.416992
464	1.416748
466	1.413574
468	1.405457
470	1.413513
472	1.427734
474	1.439758
476	1.452942
478	1.464478
480	1.469849
482	1.453064
484	1.416199
486	1.387573
488	1.388123
490	1.409302
492	1.432251
494	1.447388
496	1.449341
498	1.440308
500	1.426208
502	1.420227
504	1.423645
506	1.436401
508	1.442383
510	1.439453
512	1.425354
514	1.397217
516	1.365601
518	1.352661
520	1.366943
522	1.392029
524	1.406494
526	1.411621
528	1.419922
530	1.431824
532	1.442993
534	1.446655
536	1.444702
538	1.439087
540	1.427795
542	1.426392
544	1.428589
546	1.433655
548	1.434082
550	1.431946
552	1.434448
554	1.432312
556	1.420715
558	1.408325
560	1.394775
562	1.386780
564	1.382324
566	1.377380
568	1.369385
570	1.363220
572	1.362732
574	1.361206
576	1.359314
578	1.361450
580	1.369263
582	1.378296
584	1.379517
586	1.364075
588	1.347656
590	1.338562
592	1.343872
594	1.350037
596	1.350281
598	1.346191
600	1.340454
602	1.337280
604	1.338989
606	1.339722
608	1.335083
610	1.325073
612	1.316223
614	1.308289
616	1.306458
618	1.307983
620	1.311096
622	1.308899
624	1.297241
626	1.281189
628	1.273682
630	1.270874
632	1.276550
634	1.285583
636	1.296753
638	1.301025
640	1.300171
642	1.297119
644	1.294556
646	1.289795
648	1.285278
650	1.282227
652	1.268311
654	1.247681
656	1.233582
658	1.240356
660	1.264832
662	1.285217
664	1.287964
666	1.287964
668	1.284546
670	1.281982
672	1.277832
674	1.277283
676	1.274841
678	1.273682
680	1.263855
682	1.243652
684	1.194031
686	1.131531
688	1.090271
690	1.098083
692	1.138611
694	1.178528
696	1.199097
698	1.201660
700	1.196899
702	1.194275
704	1.195984
706	1.200500
708	1.199646
710	1.195679
712	1.187500
714	1.169067
716	1.135254
718	1.098022
720	1.075073
722	1.075500
724	1.080933
726	1.079712
728	1.078674
730	1.089050
732	1.102356
734	1.116821
736	1.121643
738	1.118408
740	1.112427
742	1.109070
744	1.108704
746	1.112244
748	1.113831
750	1.112122
752	1.108887
754	1.097046
756	1.041504
758	0.899231
760	0.704590
762	0.567261
764	0.582397
766	0.722565
768	0.882233
770	0.990936
772	1.038269
774	1.050537
776	1.052673
778	1.050110
780	1.046082
782	1.043579
784	1.039307
786	1.034485
788	1.027344
790	1.017029
792	1.007385
794	1.000671
796	0.999481
798	0.999054
800	0.995392
802	0.992584
804	0.988190
806	0.983215
808	0.975311
810	0.966949
812	0.948181
814	0.919464
816	0.891052
818	0.873230
820	0.866699
822	0.868774
824	0.877899
826	0.884094
828	0.889771
830	0.890533
832	0.889740
834	0.894989
836	0.904663
838	0.912750
840	0.914642
