SRRL LI-1800 Global 40-South Spectra
July 15, 2003 at 14:05 MST
WaveLN	Irradiance
Mostly Cloudy

SRRL Atmospheric Optical Calibration System (AOCS) 
NREL-SRRL, Golden, Colorado
(5 min scans @ 2nm) 

[nm]	[watts/m^2/nm]
300	0.002711
302	0.004845
304	0.008072
306	0.012561
308	0.018824
310	0.024877
312	0.033346
314	0.041988
316	0.049868
318	0.056669
320	0.063328
322	0.070599
324	0.080147
326	0.091740
328	0.103359
330	0.110245
332	0.110344
334	0.110584
336	0.109619
338	0.110939
340	0.115211
342	0.115574
344	0.114803
346	0.115795
348	0.118565
350	0.121624
352	0.125771
354	0.125381
356	0.122772
358	0.120384
360	0.123989
362	0.132874
364	0.142319
366	0.151398
368	0.155411
370	0.151375
372	0.146507
374	0.145630
376	0.150955
378	0.153915
380	0.147430
382	0.137459
384	0.133377
386	0.138863
388	0.148140
390	0.151733
392	0.148941
394	0.150192
396	0.165092
398	0.193924
400	0.221710
402	0.238182
404	0.242081
406	0.241974
408	0.244011
410	0.249031
412	0.254089
414	0.257507
416	0.258133
418	0.257339
420	0.255142
422	0.254715
424	0.252106
426	0.246117
428	0.238617
430	0.236328
432	0.243690
434	0.256195
436	0.266785
438	0.273117
440	0.280334
442	0.288742
444	0.296677
446	0.303467
448	0.310455
450	0.314941
452	0.315689
454	0.314941
456	0.315125
458	0.316467
460	0.317398
462	0.316467
464	0.313919
466	0.311493
468	0.309387
470	0.310791
472	0.313187
474	0.315842
476	0.318222
478	0.320328
480	0.320282
482	0.314865
484	0.305588
486	0.300430
488	0.300995
490	0.306473
492	0.310165
494	0.312485
496	0.311829
498	0.309402
500	0.305527
502	0.303787
504	0.304520
506	0.306931
508	0.308350
510	0.307877
512	0.304169
514	0.297699
516	0.291000
518	0.289200
520	0.293564
522	0.298737
524	0.301605
526	0.302872
528	0.304688
530	0.307404
532	0.309387
534	0.309052
536	0.307770
538	0.305420
540	0.303162
542	0.302460
544	0.303375
546	0.304291
548	0.304550
550	0.304794
552	0.304672
554	0.303284
556	0.300919
558	0.298660
560	0.295639
562	0.296539
564	0.296036
566	0.294846
568	0.292999
570	0.292679
572	0.292664
574	0.293015
576	0.292648
578	0.293488
580	0.295273
582	0.296356
584	0.294052
586	0.287125
588	0.279190
590	0.275345
592	0.275864
594	0.279068
596	0.281509
598	0.283340
600	0.285004
602	0.286743
604	0.287842
606	0.288147
608	0.286362
610	0.284286
612	0.281738
614	0.279739
616	0.279129
618	0.279541
620	0.279938
622	0.278320
624	0.274902
626	0.271545
628	0.269211
630	0.268600
632	0.269775
634	0.271896
636	0.273651
638	0.274109
640	0.273376
642	0.271744
644	0.268433
646	0.264221
648	0.261353
650	0.259872
652	0.257553
654	0.253830
656	0.252396
658	0.256546
660	0.263062
662	0.267395
664	0.268448
666	0.268250
668	0.267532
670	0.266418
672	0.265854
674	0.264954
676	0.264435
678	0.264175
680	0.260788
682	0.255966
684	0.245155
686	0.232239
688	0.224747
690	0.224472
692	0.229004
694	0.233444
696	0.236366
698	0.237358
700	0.237305
702	0.238281
704	0.241425
706	0.245056
708	0.247627
710	0.248550
712	0.245743
714	0.235291
716	0.217812
